Date,Capital,Open Gross,Idle Cash,Open Count
2020-01-03,1000332.1182903807,84000.0,981940.0,1
2020-01-04,1000664.3457908289,84000.0,982272.1182903807,1
2020-01-05,1000996.6825372562,84000.0,982604.3457908289,1
2020-01-06,1001332.067382186,159045.83372146694,966801.8282871408,2
2020-01-07,1001667.5625113206,159045.83372146694,967137.2131320706,2
2020-01-08,1002003.1679609246,159045.83372146694,967472.7082612052,2
2020-01-09,1002338.8837672746,159045.83372146694,967808.3137108092,2
2020-01-10,1002674.7099666591,159045.83372146694,968144.0295171592,2
2020-01-11,1003010.6465953785,159045.83372146694,968479.8557165437,2
2020-01-12,1003346.6936897452,159045.83372146694,968815.7923452632,2
2020-01-13,1003682.8512860833,159045.83372146694,969151.8394396298,2
2020-01-14,1004019.1194207293,159045.83372146694,969487.997035968,2
2020-01-15,1004358.8008151285,243383.4397528082,951691.6798738756,3
2020-01-16,1004698.5939065618,243383.4397528082,952031.3612682747,3
2020-01-17,1005038.4987317586,243383.4397528082,952371.1543597081,3
2020-01-18,1005378.5153274599,243383.4397528082,952711.0591849048,3
2020-01-19,1005718.6437304192,243383.4397528082,953051.0757806061,3
2020-01-20,1006058.883977402,243383.4397528082,953391.2041835655,3
2020-01-21,1006399.2361051857,243383.4397528082,953731.4444305482,3
2020-01-22,1006739.70015056,243383.4397528082,954071.7965583319,3
2020-01-23,1007080.2761503267,243383.4397528082,954412.2606037062,3
2020-01-24,1004212.0606494787,159045.83372146694,969680.8748409352,2
2020-01-25,1004548.5028034183,159045.83372146694,970017.2063993633,2
2020-01-26,1004885.0555892364,159045.83372146694,970353.648553303,2
2020-01-27,1005226.8688383676,290551.37353188236,942416.5102798818,4
2020-01-28,1005568.7944855483,290551.37353188236,942758.323529013,4
2020-01-29,1005910.832567738,290551.37353188236,943100.2491761935,4
2020-01-30,1006256.2050172653,372825.9268845688,925753.2582875558,5
2020-01-31,1006604.5898806849,446851.0550549248,910183.2281804564,6
2020-02-01,1006953.08930309,446851.0550549248,910531.613043876,6
2020-02-02,1007301.7033221511,446851.0550549248,910880.1124662812,6
2020-02-03,1007653.7386900996,531291.557451969,893074.0184699778,7
2020-02-04,1008008.7563855653,604492.4492612983,877687.8620989204,8
2020-02-05,1013155.0303133248,536633.7126465256,897424.7292061801,7
2020-02-06,1013509.199624262,536633.7126465256,897778.7820943218,7
2020-02-07,1013863.485396278,536633.7126465256,898132.9514052591,7
2020-02-08,1014217.8876676684,536633.7126465256,898487.237177275,7
2020-02-09,1014572.4064767418,536633.7126465256,898841.6394486654,7
2020-02-10,1017799.4893765721,452193.2102494814,920225.6751823665,6
2020-02-11,1018155.2272201148,537688.3673571134,902196.4903947928,7
2020-02-12,1018511.082040515,537688.3673571134,902552.2282383353,7
2020-02-13,1008982.6164184591,561216.6782273682,887967.386910782,7
2020-02-14,1010160.092331917,572015.2237201781,886822.3657473763,7
2020-02-15,1010514.6623711427,572015.2237201781,887176.8192320787,7
2020-02-16,1010869.3490032181,572015.2237201781,887531.3892713044,7
2020-02-17,1011227.4774851656,656928.2490364484,869629.7754603818,8
2020-02-18,1019225.8887989001,644357.7344625533,880328.7102670488,8
2020-02-19,1019586.2728870241,644357.7344625533,880688.9758894511,8
2020-02-20,1026718.8839083886,582325.1299541049,901158.6806592469,7
2020-02-21,1066199.0443374184,498325.1299541049,958689.1515240265,6
2020-02-22,1066569.1558740134,498325.1299541049,959059.1413972859,6
2020-02-23,1066939.3891139505,498325.1299541049,959429.2529338809,6
2020-02-24,1067312.4527270677,567492.8973253382,944928.4161890028,7
2020-02-25,1069502.6304228243,571085.5876244912,946345.3048690782,7
2020-02-26,1075371.387489562,745851.7097752962,914630.5748489969,9
2020-02-27,1075760.6723804555,910917.1595491773,879524.1981864888,11
2020-02-28,1076155.69805719,1054245.4589328463,849097.8987098935,13
2020-02-29,1076550.8536297542,1054245.4589328463,849492.924386628,13
2020-03-01,1076929.9568260584,1054245.4589328463,849888.0799591921,13
2020-03-02,1087907.5371431445,1060684.5105737415,859477.5559071887,13
2020-03-03,1088290.469822351,1060684.5105737415,859860.3673697901,13
2020-03-04,1090455.0076555714,1061886.607177544,861765.7256920733,13
2020-03-05,1098240.193278477,1069381.4923219737,867936.7750284144,13
2020-03-06,1098626.7130314016,1069381.4923219737,868323.1724292528,13
2020-03-07,1099013.355175155,1069381.4923219737,868709.6921821773,13
2020-03-08,1099400.119748492,1069381.4923219737,869096.3343259307,13
2020-03-09,1110686.7469839633,1071294.3079529493,879968.064125132,13
2020-03-10,1140735.894996567,903500.2982299331,946089.49264191,11
2020-03-11,1141136.804800466,1095143.9285893564,905279.9503498554,13
