Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
BRSAN-KCAER,2023-07-03,2023-08-24,158435.63745418852,-1.9347773276840377,1.2898515517893585,0.8495853555017971,126.7485099633508,63.374254981675406,134604.59737067058,134414.47460572555,2330806.5298497914
SASA-TTKOM,2021-10-19,2022-01-12,92805.6239284034,-3.208419098991914,1.4,0.8238874978971501,74.24449914272272,37.12224957136136,76461.39328915616,76350.02654044208,1632376.5596293851
SASA-TTKOM,2021-01-13,2021-02-18,97409.11555472195,-2.370863628026824,1.4,0.8027594741875224,77.92729244377757,38.96364622188879,78196.09038378022,78079.19944511454,1191733.425643133
MIATK-TOASO,2024-04-18,2024-06-27,314288.2821937992,2.4285482525676803,1.4,0.7460261179017775,251.4306257550394,125.7153128775197,234467.2670670584,234090.12112842585,4410118.657616874
REEDR-SISE,2024-02-05,2024-03-06,139390.96166793138,-2.753976761677818,1.4,0.679554776059059,111.51276933434512,55.75638466717256,94723.793740908,94556.52458690648,3209931.49799242
REEDR-TKFEN,2024-02-01,2024-04-03,257574.6021184538,-4.700719875758765,1.4,0.6772228291437108,206.05968169476304,103.02984084738152,174435.40076222492,174126.31123968278,3578947.8506820914
REEDR-TTRAK,2024-03-19,2024-05-24,242112.6935695152,1.8766559658225752,1.25110397721505,0.6658924114506946,193.69015485561212,96.84507742780607,161221.0053638275,160930.4701315441,4223419.139342939
ALARK-TKFEN,2020-11-27,2021-02-22,105029.12364511313,-2.148020064614474,1.4,0.6508772157952614,84.02329891609051,42.011649458045255,68361.06357554748,68235.02862717335,1262501.343716114
GUBRF-TOASO,2021-09-22,2021-11-30,80887.88541506916,-1.5744373525887636,1.0496249017258423,0.6200155365242028,64.71030833205533,32.35515416602767,50151.745673932346,50054.68021143426,1396529.187378822
REEDR-TTRAK,2024-11-01,2024-12-30,432615.85851082817,2.1843785948969665,1.4,0.5329217320783559,346.09268680866256,173.04634340433128,230550.3926421555,230031.2536119425,6327872.900453058
