Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
CCOLA-TSKB,2020-01-15,2020-01-24,84337.60603134126,2.159645001554687,1.4,-0.03679665665261162,67.47008482507302,33.73504241253651,-3103.3419320384914,-3204.547059276101,1003875.7290910506
EKGYO-SASA,2020-01-27,2020-02-05,67858.73661477276,1.6882213601779137,1.1254809067852758,0.07182054613281008,54.28698929181821,27.143494645909104,4873.651523555495,4792.221039617768,1012800.977425183
ENKAI-ZOREN,2020-02-03,2020-02-10,84440.50239704426,2.0957103050296055,1.3971402033530704,0.035245379026118476,67.55240191763541,33.776200958817704,2976.1375121396904,2874.808909263237,1017447.215386005
TSKB-ZOREN,2020-01-27,2020-02-13,63646.80319564264,1.5834349123224332,1.055623274881622,-0.014181456473856125,50.91744255651412,25.45872127825706,-902.6043692190931,-978.9805330538642,1017532.1015074612
ENKAI-VESTL,2020-01-30,2020-02-13,82274.55335268647,-2.0447774963976766,1.3631849975984511,-0.10701242310037111,65.81964268214918,32.90982134107459,-8804.39931377174,-8903.128777794964,1008628.9727296662
CCOLA-TSKB,2020-01-31,2020-02-14,74025.12817035601,-1.8391222782344456,1.2260815188229637,0.012318149324395539,59.22010253628481,29.610051268142406,911.852582559964,823.0224287555368,1009805.6388472146
PGSUS-TAVHL,2020-02-11,2020-02-18,85495.15710763205,-4.91036185450296,1.4,0.09054009772876707,68.39612568610565,34.198062843052824,7740.739879861301,7638.145691332143,1018865.6231764978
ENKAI-KOZAA,2020-01-06,2020-02-20,75045.83372146696,-1.8742777831002908,1.2495185220668605,0.002204565011708723,60.03666697717357,30.018333488586784,165.4434192968567,75.38841883109635,1019661.6613058551
ALARK-TKFEN,2020-02-04,2020-02-20,73200.89180932925,-1.8161221707093256,1.210748113806217,0.09268689487237562,58.5607134474634,29.2803567237317,6784.7633636954415,6696.922293524247,1026358.5835993794
ODAS-TKFEN,2020-01-03,2020-02-21,84000.0,-2.5947216752477953,1.4,0.4667972685210778,67.2,33.6,39210.97055577053,39110.170555770535,1065829.054464159
BIMAS-DOHOL,2020-02-20,2020-02-25,86214.12102234786,2.316027970110506,1.4,0.022266774905765226,68.97129681787828,34.48564840893914,1919.7104265030214,1816.253481276204,1069128.7062083439
SOKM-THYAO,2020-02-14,2020-02-26,84823.67366316602,2.125043739326383,1.4,0.06587607203204221,67.85893893053282,33.92946946526641,5587.850436257167,5486.062027861368,1074988.6924506857
