Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
BRSAN-KCAER,2023-03-09,2023-06-06,174511.55644795622,2.100916296027634,1.4,-0.964585165854459,139.60924515836498,69.80462257918249,-168331.25861987163,-168540.67248760918,1967307.088135641
CCOLA-ODAS,2021-03-15,2021-06-04,104271.79675038945,2.989255965692145,1.4,-0.8342683715957502,83.41743740031156,41.70871870015578,-86990.66207831043,-87115.7882344109,1222779.897069222
BRSAN-KCAER,2023-09-07,2023-09-28,208324.0718297247,-2.133109780919916,1.4,-0.6257985628123914,166.65925746377977,83.32962873188988,-130368.90475026712,-130618.8936364628,2462309.7577657574
EKGYO-SASA,2020-07-22,2020-10-16,114110.71613811796,-2.043994015298741,1.3626626768658274,-0.5915207913584783,91.28857291049437,45.64428645524718,-67498.86111250221,-67635.79397186796,1367184.3891955626
REEDR-TOASO,2024-05-07,2024-05-28,271973.2274440548,-1.7277528370587962,1.151835224705864,-0.5886538208330102,217.57858195524383,108.78929097762192,-160098.07949922816,-160424.44737216103,4110135.585750643
DOAS-EKGYO,2020-09-18,2020-11-23,96340.3584217252,1.6417809206348224,1.0945206137565482,-0.5600561522746195,77.07228673738015,38.53614336869008,-53956.01044642914,-54071.61887653521,1249452.518608741
KOZAL-KRDMD,2023-02-24,2023-05-03,121052.24779157476,2.431260522947471,1.4,-0.5406333646867163,96.8417982332598,48.420899116629904,-65444.88402644918,-65590.14672379906,2117511.3382994654
SASA-TTKOM,2021-02-23,2021-03-24,105948.7116606748,3.161566826676685,1.4,-0.4457865163293218,84.75896932853983,42.37948466426992,-47230.50708079201,-47357.64553478482,1207862.9474703455
DOAS-SASA,2020-10-21,2020-12-08,113227.3337223617,3.057165701062087,1.4,-0.4402371702311521,90.58186697788936,45.29093348894468,-49846.88099075082,-49982.753791217656,1206149.7729873438
TSKB-ZOREN,2020-10-19,2020-11-17,114855.19411639188,3.6955368821183594,1.4,-0.4325376928534862,91.88415529311352,45.942077646556754,-49679.20067534345,-49817.02690828312,1310199.1293996056
