Date,Capital,Open Gross,Idle Cash,Open Count
2020-01-03,1000332.1182903807,84000.0,981940.0,1
2020-01-04,1000664.3457908289,84000.0,982272.1182903807,1
2020-01-05,1000996.6825372562,84000.0,982604.3457908289,1
2020-01-06,1001332.067382186,159045.83372146694,966801.8282871408,2
2020-01-07,1001667.5625113206,159045.83372146694,967137.2131320706,2
2020-01-08,1002003.1679609246,159045.83372146694,967472.7082612052,2
2020-01-09,1002338.8837672746,159045.83372146694,967808.3137108092,2
2020-01-10,1002674.7099666591,159045.83372146694,968144.0295171592,2
2020-01-11,1003010.6465953785,159045.83372146694,968479.8557165437,2
2020-01-12,1003346.6936897452,159045.83372146694,968815.7923452632,2
2020-01-13,1003682.8512860833,159045.83372146694,969151.8394396298,2
2020-01-14,1004019.1194207293,159045.83372146694,969487.997035968,2
2020-01-15,1004355.4981300313,159045.83372146694,969824.265170614,2
2020-01-16,1004691.9874503493,159045.83372146694,970160.6438799159,2
2020-01-17,1005028.5874180554,159045.83372146694,970497.1332002339,2
2020-01-18,1005365.2980695338,159045.83372146694,970833.73316794,2
2020-01-19,1005702.1194411804,159045.83372146694,971170.4438194184,2
2020-01-20,1006039.0515694033,159045.83372146694,971507.265191065,2
2020-01-21,1006376.0944906223,159045.83372146694,971844.1973192879,2
2020-01-22,1006713.2482412694,159045.83372146694,972181.240240507,2
2020-01-23,1007050.5128577886,159045.83372146694,972518.393991154,2
2020-01-24,1007387.8883766356,159045.83372146694,972855.6586076732,2
2020-01-25,1007725.3748342785,159045.83372146694,973193.0341265203,2
2020-01-26,1008062.972267197,159045.83372146694,973530.5205841631,2
2020-01-27,1008405.8467929999,290967.2555731997,945505.012318959,4
2020-01-28,1008748.8340658306,290967.2555731997,945847.8868447619,4
2020-01-29,1009091.9341227636,290967.2555731997,946190.8741175926,4
2020-01-30,1009438.379085193,373501.99472082505,928789.0052577863,5
2020-01-31,1009787.8459814665,447761.21918004286,913169.7169614838,6
2020-02-01,1010137.4277925292,447761.21918004286,913519.1838577572,6
2020-02-02,1010487.1245561684,447761.21918004286,913868.76566882,6
2020-02-03,1010836.936310184,447761.21918004286,914218.4624324592,6
2020-02-04,1011189.7387160724,521193.3540202355,898780.3651958334,7
2020-02-05,1011542.6571335618,521193.3540202355,899133.1676017218,7
2020-02-06,1016374.9437876436,453120.01633279875,918602.298281131,6
2020-02-07,1016726.9014783946,453120.01633279875,918954.1402760919,6
2020-02-08,1017078.9749029799,453120.01633279875,919306.0979668429,6
2020-02-09,1017431.164099456,453120.01633279875,919658.1713914282,6
2020-02-10,1017783.4691058922,453120.01633279875,920010.3605879043,6
2020-02-11,1018139.2379228049,538613.8277376937,901981.4961422881,7
2020-02-12,1018495.1237267599,538613.8277376937,902337.2649592008,7
2020-02-13,1009920.3153436404,625685.8136451596,875041.389679929,8
2020-02-14,1010280.2303900091,710519.1201340253,857158.704514825,9
2020-02-15,1010640.26378682,710519.1201340253,857518.6195611937,9
2020-02-16,1011000.4155729901,710519.1201340253,857878.6529580045,9
2020-02-17,1010519.9981515947,731524.4072565412,852881.4344256999,9
2020-02-18,1019596.3779343253,644722.5217054478,880620.6340773131,8
2020-02-19,1019956.8981351309,644722.5217054478,880981.035767654,8
2020-02-20,1020320.891997223,730398.9011487988,862921.1343881391,9
2020-02-21,1059804.7471938827,646398.9011487988,920455.2988060019,8
2020-02-22,1060178.5547130536,646398.9011487988,920828.983446891,8
2020-02-23,1060552.485150912,646398.9011487988,921202.7909660619,8
2020-02-24,1060929.230963318,715152.6169890405,906794.6724982683,9
2020-02-25,1061306.100660607,715152.6169890405,907171.4183106741,9
2020-02-26,1061476.3049791385,885710.4099599827,870664.9642937125,11
2020-02-27,1061863.5253512033,974874.4195782304,851878.304769819,12
2020-02-28,1062253.4479134153,1040626.2548441793,838128.8805597047,13
2020-02-29,1062643.4986934057,1040626.2548441793,838518.8031219167,13
2020-03-01,1063017.704468756,1040626.2548441793,838908.8539019071,13
2020-03-02,1063392.028735735,1040626.2548441793,839283.0596772574,13
2020-03-03,1063766.4715318629,1040626.2548441793,839657.3839442364,13
2020-03-04,1064141.0328946714,1040626.2548441793,840031.8267403643,13
2020-03-05,1064515.7128617049,1040626.2548441793,840406.3881031729,13
2020-03-06,1064890.5114705188,1040626.2548441793,840781.0680702063,13
2020-03-07,1065265.428758681,1040626.2548441793,841155.8666790202,13
2020-03-08,1065640.4647637713,1040626.2548441793,841530.7839671825,13
2020-03-09,1066015.619523381,1040626.2548441793,841905.8199722727,13
2020-03-10,1094321.019088975,786624.5159714316,924821.837730975,10
2020-03-11,1094702.2313723888,957199.4495696755,888523.1374314947,12
