Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
BRSAN-KCAER,2023-02-23,2023-05-23,126224.96666796764,-1.9126564455142727,1.2751042970095152,1.1328168912511658,100.97997333437412,50.48998666718706,142989.77433908914,142838.30437908758,1891276.2825349085
BRSAN-KCAER,2023-07-03,2023-08-25,138146.80833729147,-1.9347773276840377,1.2898515517893585,0.9542536067489592,110.51744666983318,55.25872333491659,131827.09011671756,131661.31394671282,2167831.8018131778
SASA-TTKOM,2021-10-19,2022-01-12,87567.05759941565,-3.208419098991914,1.4,0.8238874978971501,70.05364607953253,35.02682303976626,72145.40398379818,72040.3235146789,1501099.4695460596
SASA-TTKOM,2021-01-13,2021-02-18,96917.36818952864,-2.370863628026824,1.4,0.8027594741875224,77.53389455162292,38.76694727581146,77801.33552746451,77685.03468563707,1204032.3202427605
BIMAS-EGEEN,2023-05-29,2023-08-24,157590.87390766,-2.2073411751796037,1.4,0.7607796935018705,126.072699126128,63.036349563064,119891.93675016148,119702.82770147228,2035059.644426472
MIATK-TOASO,2024-04-18,2024-06-28,309500.2561016458,2.4285482525676803,1.4,0.7499349552701522,247.60020488131667,123.80010244065834,232105.0607156884,231733.6604083664,4055646.966040595
THYAO-TTRAK,2020-04-29,2020-07-29,100296.70229002804,2.625207236071875,1.4,0.7345326141447958,80.23736183202243,40.118680916011215,73671.19892319661,73550.84288044857,1302142.630305335
ALARK-TKFEN,2020-11-27,2021-02-22,102397.4755067351,-2.148020064614474,1.4,0.6508772157952614,81.91798040538809,40.958990202694046,66648.18376228721,66525.30679167913,1273116.2392158897
REEDR-TKFEN,2024-02-01,2024-04-04,242379.28971423296,-4.700719875758765,1.4,0.6144391624666093,193.9034317713864,96.9517158856932,148927.32777126497,148636.4726236079,3543191.916180392
REEDR-TOASO,2024-03-19,2024-05-02,260888.4847881424,2.176663462901899,1.4,0.6065013828078747,208.71078783051396,104.35539391525695,158229.22678265956,157916.16060091378,3837134.6679011104
