Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
EKGYO-SASA,2020-01-27,2020-02-06,68073.33768743671,1.6882213601779137,1.1254809067852758,0.06701790773493645,54.45867014994937,27.229335074974685,4562.132664345805,4480.444659120881,1016023.1017926827
ENKAI-VESTL,2020-01-30,2020-02-13,82534.73914762535,-2.0447774963976766,1.3631849975984511,-0.10701242310037111,66.02779131810028,33.01389565905014,-8832.242426144447,-8931.284113121597,1009563.8396136384
TSKB-ZOREN,2020-01-27,2020-02-17,63848.084164296015,1.5834349123224332,1.055623274881622,-0.011975549402063846,51.07846733143681,25.539233665718406,-764.6158861366573,-841.2335871338125,1010159.1819858563
CCOLA-TSKB,2020-01-31,2020-02-18,74259.22445921783,-1.8391222782344456,1.2260815188229637,0.015716077081624053,59.40737956737427,29.703689783687135,1167.0636956226897,1077.9526262716283,1011597.9507778663
PGSUS-TAVHL,2020-02-11,2020-02-18,85493.81140489494,-4.91036185450296,1.4,0.09054009772876707,68.39504912391595,34.19752456195798,7740.618039803969,7638.025466118095,1019235.9762439844
ODAS-TKFEN,2020-01-03,2020-02-21,84000.0,-2.5947216752477953,1.4,0.4667972685210778,67.2,33.6,39210.97055577053,39110.170555770535,1059431.0625529937
BIMAS-DOHOL,2020-02-20,2020-02-26,85676.37944335098,2.316027970110506,1.4,-0.0012907474718777778,68.54110355468079,34.270551777340394,-110.58657016614649,-213.39822549816765,1061092.7024351088
GARAN-TCELL,2020-02-17,2020-03-10,84853.37128681192,2.8958981312811973,1.4,0.08869153138925245,67.88269702944953,33.941348514724766,7525.775442968172,7423.951397423997,1073439.5709208052
AEFES-TTKOM,2020-02-26,2020-03-10,79984.35796768813,1.8844809172688561,1.2563206115125707,0.09223892375147409,63.987486374150514,31.993743187075257,7377.671095892195,7281.689866330969,1080721.2607871362
CCOLA-ENKAI,2020-02-27,2020-03-10,89164.00961824763,-2.321875462101863,1.4,0.14952047071815433,71.3312076945981,35.66560384729905,13331.844689238425,13224.847877696528,1093946.1086648328
ENKAI-VESTL,2020-02-18,2020-03-13,72951.15031301939,1.789358696448632,1.1929057976324213,-0.07026005711549041,58.36092025041551,29.180460125207755,-5125.551987633468,-5213.093368009092,1089873.4787763802
PGSUS-TAVHL,2020-02-26,2020-03-13,87118.02744205589,2.0525545798714884,1.3683697199143257,0.1236212378678413,69.6944219536447,34.84721097682235,10769.638392991516,10665.096760061047,1100538.5755364413
ENKAI-ZOREN,2020-02-28,2020-03-13,65751.83526594886,-2.235805100370838,1.4,-0.050905247389489754,52.60146821275909,26.300734106379544,-3347.1134405261037,-3426.0156428452424,1097112.559893596
SOKM-THYAO,2020-02-14,2020-03-19,84833.30648886578,2.125043739326383,1.4,0.022554242471810593,67.86664519109263,33.933322595546315,1913.3509642353017,1811.5509964486628,1101205.857097067
ALARK-TKFEN,2020-02-04,2020-03-24,73432.13484019262,-1.8161221707093256,1.210748113806217,0.2097644657862313,58.7457078721541,29.37285393607705,15403.45253629551,15315.33397448728,1118447.572788137
ENKAI-KOZAA,2020-01-06,2020-03-30,75045.83372146696,-1.8742777831002908,1.2495185220668605,0.011109762765658782,60.03666697717357,30.018333488586784,833.7414091965738,743.6864087308135,1121556.4475920305
ODAS-TKFEN,2020-02-26,2020-03-30,89131.78700454914,3.3188178082899933,1.4,0.04239388160893964,71.30542960363933,35.65271480181966,3778.6424258640814,3671.6842814586225,1125228.1318734891
DOAS-EKGYO,2020-03-18,2020-03-30,92316.6355250682,-3.510124030466027,1.4,0.11936298723383118,73.85330842005456,36.92665421002728,11019.189387648961,10908.40942501888,1136136.541298508
EKGYO-SASA,2020-02-13,2020-04-06,84803.36252754561,-2.6766460991128307,1.4,-0.2837518223909141,67.84269002203649,33.921345011018246,-24063.108662068425,-24164.87269710148,1114548.304914409
SOKM-TCELL,2020-02-13,2020-04-06,84803.36252754561,2.6413112057558803,1.4,-0.05643057651854324,67.84269002203649,33.921345011018246,-4785.502638140425,-4887.26667317348,1109661.0382412355
CCOLA-EGEEN,2020-03-11,2020-04-08,91922.96560347387,5.150812000621032,1.4,0.2071021238449653,73.5383724827791,36.76918624138955,19037.44140660713,18927.13384788296,1129281.922245408
DOAS-SASA,2020-03-24,2020-04-08,92950.41227552535,2.6913821079836597,1.4,0.2908479483298693,74.36032982042028,37.18016491021014,27034.436706752047,26922.896212021416,1156204.8184574293
CCOLA-ENKAI,2020-03-16,2020-04-09,92252.46850889431,2.137699039220051,1.4,0.1342410975337543,73.80197480711546,36.90098740355773,12384.072622832078,12273.369660621405,1168832.9914838069
CCOLA-DOHOL,2020-02-24,2020-04-10,68753.71584024171,-1.6207051702504465,1.0804701135002976,0.08098685384144469,55.00297267219337,27.501486336096686,5568.147135809876,5485.642676801586,1174674.3233103422
ENKAI-ZOREN,2020-04-13,2020-04-16,98762.2065227188,3.387500594853206,1.4,0.10253292105955995,79.00976521817505,39.504882609087524,10126.377525061884,10007.86287723462,1186833.5932999789
CCOLA-FROTO,2020-03-11,2020-04-28,78651.96799477002,1.7968211937537302,1.1978807958358202,0.03173117700793074,62.921574395816016,31.460787197908008,2495.719518464151,2401.337156870427,1193632.2753590473
SOKM-THYAO,2020-04-03,2020-04-30,75939.72394146089,1.668810658735727,1.1125404391571514,-0.08170429309286548,60.75177915316872,30.37588957658436,-6204.601462304414,-6295.729131034167,1188094.9218534918
BIMAS-KOZAL,2020-03-12,2020-05-04,82975.83736891944,1.8949408110937993,1.2632938740625328,-0.01697531685297486,66.38066989513555,33.19033494756778,-1408.5411304783195,-1508.1121353210228,1187993.9966530127
ENKAI-VESTL,2020-04-13,2020-05-06,98762.2065227188,4.549308652421756,1.4,0.15881043241909962,79.00976521817505,39.504882609087524,15684.468724537393,15565.95407671013,1204248.4703603536
TSKB-ZOREN,2020-04-27,2020-05-07,100031.67508634494,2.6122424288129014,1.4,0.06255592617153169,80.02534006907595,40.012670034537976,6257.57408151604,6137.536071412425,1210735.8277849976
CCOLA-FROTO,2020-05-05,2020-05-08,98299.10610487366,-2.067997240044075,1.37866482669605,0.08096610626143272,78.63928488389894,39.31964244194947,7958.89587029105,7840.936942965202,1218925.872887411
DOAS-EKGYO,2020-04-27,2020-05-12,81673.60144907539,1.7146025285991768,1.1430683523994511,0.05947298865881947,65.33888115926031,32.669440579630155,4857.373172705802,4759.364850966912,1225091.3939983568
GARAN-TCELL,2020-03-17,2020-05-20,69839.77368736661,-1.5892551739648402,1.0595034493098934,-0.2728401157307594,55.871818949893296,27.935909474946648,-19055.09193547115,-19138.89966389599,1208796.4285956956
CCOLA-DOHOL,2020-04-22,2020-05-20,99876.5322218349,-3.1951856928276423,1.4,-0.025159948864001757,79.90122577746793,39.950612888733964,-2512.88844341519,-2632.740282081392,1206163.6883136143
CCOLA-EGEEN,2020-04-24,2020-05-20,99937.95006233398,3.896656207871661,1.4,-0.0054687183034887715,79.95036004986719,39.97518002493359,-546.5324967190327,-666.4580367938335,1205497.2302768205
EKGYO-SASA,2020-04-24,2020-05-27,99937.95006233398,-2.119301583817805,1.4,0.10412286942437998,79.95036004986719,39.97518002493359,10405.826124880608,10285.900584805808,1218231.8758628713
CCOLA-FROTO,2020-05-13,2020-05-28,89097.45708765289,-1.8176589537822603,1.2117726358548402,0.0717773110217218,71.27796567012231,35.63898283506116,6395.175888624973,6288.258940119789,1224873.7044110144
SOKM-THYAO,2020-05-06,2020-06-02,101156.87151026969,-4.081468242973488,1.4,0.034953406457763694,80.92549720821576,40.46274860410788,3535.7772458942327,3414.389000081909,1230054.5913059292
DOAS-SASA,2020-05-04,2020-06-05,93351.88704792663,1.9644856647199183,1.3096571098132788,0.050764816982446975,74.68150963834131,37.340754819170655,4738.991460954057,4626.969196496545,1235700.0592082338
BIMAS-DOHOL,2020-05-20,2020-06-08,91484.50683916155,1.8972359401056813,1.2648239600704543,-0.06967120739184579,73.18760547132925,36.593802735664624,-6373.836049131959,-6483.617457338953,1230239.8034667494
AEFES-TTKOM,2020-04-29,2020-06-11,100296.70229002803,6.563744989610459,1.4,-0.053006657352962186,80.23736183202243,40.118680916011215,-5316.392931919573,-5436.7489746676065,1225818.204768342
PGSUS-TAVHL,2020-03-23,2020-06-12,92630.49874700746,-2.183949192643759,1.4,0.36660775291380643,74.10439899760597,37.052199498802985,33959.05899692557,33847.90239842916,1260004.4135590063
ALARK-TKFEN,2020-05-21,2020-06-12,77670.29178689279,-1.6102898014728881,1.0735265343152587,-0.09548096175614242,62.136233429514235,31.068116714757117,-7416.034159692733,-7509.238509837004,1252495.1750491692
ENKAI-ZOREN,2020-06-02,2020-06-15,103324.58566969803,-2.319037570300524,1.4,0.025017743639830885,82.65966853575843,41.329834267879214,2584.9479959762493,2460.9584931726117,1255987.5205688584
TSKB-ZOREN,2020-05-21,2020-06-18,84069.42072328532,-1.742958957562268,1.1619726383748452,0.007143014999019731,67.25553657862827,33.62776828931413,600.5091331853273,499.6258283173849,1257523.0667896601
AEFES-PETKM,2020-05-13,2020-06-19,102937.16513471126,4.229270588667793,1.4,-0.03524780305691819,82.34973210776901,41.17486605388451,-3628.3089239057676,-3751.833522067421,1254116.4577957192
SOKM-THYAO,2020-06-10,2020-06-23,86795.38465177047,2.7172619380125784,1.4,-0.04726471794302987,69.43630772141637,34.718153860708185,-4102.359374322715,-4206.51383590484,1251281.1339618443
ENKAI-VESTL,2020-06-05,2020-06-26,101794.0005897733,2.164607026688597,1.4,-0.06919089286211647,81.43520047181865,40.71760023590932,-7043.2177888132255,-7165.370589520953,1245152.0287659562
ENKAI-ZOREN,2020-06-23,2020-06-26,105107.6152527949,2.3155546338152413,1.4,0.05832200093921744,84.08609220223593,42.043046101117966,6130.08643549241,6003.957297189056,1251155.9860631453
ENKAI-KOZAA,2020-05-08,2020-06-29,102389.7733225425,3.3367308499727,1.4,-0.0547552567844041,81.91181865803401,40.955909329017004,-5606.378330372743,-5729.246058359795,1246455.6798758567
CCOLA-DOHOL,2020-05-28,2020-06-29,93060.5522084514,1.8993907672546522,1.2662605115031014,-0.003145342194575594,74.44844176676112,37.22422088338056,-292.70728151174717,-404.37994416188883,1246051.2999316948
SOKM-TCELL,2020-06-16,2020-07-01,105531.71145727191,-4.207848503096517,1.4,-0.1199032620441908,84.42536916581754,42.21268458290877,-12653.596452833208,-12780.234506581934,1233951.482896948
CCOLA-EGEEN,2020-06-30,2020-07-10,88772.6665086114,1.7805949597897823,1.1870633065265215,-0.0027455666438831773,71.01813320688912,35.50906660344456,-243.73127205460872,-350.2584718649424,1236650.748316586
ODAS-TKFEN,2020-06-26,2020-07-14,94795.8262464915,1.8941648224210152,1.2627765482806768,-0.12610301854428613,75.8366609971932,37.9183304985966,-11954.039835082243,-12067.794826578032,1225948.3133241918
DOAS-SASA,2020-06-11,2020-07-16,95301.60712632509,3.573888136127086,1.4,-0.004163668264809073,76.24128570106008,38.12064285053004,-396.804277177182,-511.16620572877207,1226113.3833063517
ENKAI-ZOREN,2020-07-10,2020-07-17,102505.39130065934,-2.0722380882435223,1.381492058829015,0.04428084999798236,82.00431304052748,41.00215652026374,4539.025856168982,4416.01938660819,1230865.4716062045
PGSUS-TAVHL,2020-06-16,2020-07-20,92785.52970406017,2.6115157526603423,1.4,-0.09880984997988186,74.22842376324814,37.11421188162407,-9168.124270362057,-9279.46690600693,1222597.7026083283
SOKM-THYAO,2020-07-17,2020-07-28,96286.8627675669,-1.9556739747098115,1.303782649806541,0.03198436134898822,77.02949021405352,38.51474510702676,3079.6738119183,2964.12957659722,1228255.2533244304
THYAO-TTRAK,2020-04-29,2020-07-29,100296.70229002803,2.625207236071875,1.4,0.7345326141447958,80.23736183202243,40.118680916011215,73671.19892319661,73550.84288044857,1302142.630305335
AEFES-PETKM,2020-07-03,2020-08-13,103700.26630503552,-2.0998365030540587,1.3998910020360391,0.09525085538182129,82.96021304402842,41.48010652201421,9877.539068877293,9753.09874931125,1317284.6384583
AEFES-TTKOM,2020-06-22,2020-08-17,97305.64505096708,-1.938138390309542,1.2920922602063614,0.07879317482110904,77.84451604077367,38.922258020386835,7667.020701581632,7550.253927520472,1326289.1497944286
TSKB-ZOREN,2020-06-29,2020-08-21,84724.13269163066,-1.6998524197253158,1.1332349464835438,-0.28081332966299155,67.77930615330453,33.889653076652266,-23791.665803945918,-23893.334763175873,1303850.889607701
ENJSA-GUBRF,2020-05-27,2020-08-24,102331.47757248118,-2.1977556896679,1.4,-0.001981791755202196,81.86518205798494,40.93259102899247,-202.79967855080162,-325.59745163777905,1304593.8306411223
GARAN-TCELL,2020-05-28,2020-08-25,58700.38085000836,3.634879468532872,1.4,0.2438878296293174,46.96030468000669,23.480152340003347,14316.308483922885,14245.868026902874,1319196.1326803362
BIMAS-KOZAL,2020-06-12,2020-09-02,105209.59470413021,-2.5511228614906525,1.4,0.06242715356248766,84.16767576330417,42.08383788165209,6567.935524841825,6441.684011196869,1328545.731374922
ENKAI-KOZAA,2020-07-06,2020-09-04,103793.58033880126,-4.1134441732309055,1.4,0.07891889412366482,83.03486427104102,41.51743213552051,8191.274577473955,8066.722281067393,1337343.9822408308
ALARK-TKFEN,2020-06-23,2020-09-15,66440.92115377318,2.7814424139505145,1.4,-0.08044811243116295,53.152736923018544,26.576368461509272,-5345.0466950087775,-5424.775800393306,1335973.957782597
THYAO-TTRAK,2020-08-26,2020-09-16,110842.80594989235,-3.6513891482652743,1.4,-0.03262233494880057,88.67424475991389,44.337122379956945,-3615.951142362293,-3748.962509502164,1332591.3622696926
CCOLA-TSKB,2020-08-13,2020-09-23,110651.90963049719,2.4711061676474078,1.4,0.007885654836036694,88.52152770439776,44.26076385219888,872.5627662944254,739.7804747378287,1335898.291394844
SOKM-THYAO,2020-08-04,2020-09-25,75127.52009858144,2.4921682684547894,1.4,-0.0278878011772895,60.102016078865155,30.051008039432578,-2095.14134345206,-2185.2943675703577,1334445.5990541398
ENJSA-GUBRF,2020-08-25,2020-10-05,101719.39306181292,1.9276775936103596,1.2851183957402397,0.021039761283773092,81.37551444945035,40.687757224725175,2140.151747950829,2018.0884762766534,1340471.350489605
AEFES-BRSAN,2020-07-30,2020-10-08,104062.39428819335,1.9973615831796576,1.3315743887864384,-0.04109649713435995,83.24991543055468,41.62495771527734,-4276.599888659373,-4401.474761805206,1337421.708211946
SOKM-TCELL,2020-07-14,2020-10-09,75896.720107167,1.5477145178610956,1.0318096785740638,0.10381562982943156,60.717376085733605,30.358688042866802,7879.2657999136245,7788.189735785024,1345660.7044378268
ALARK-TKFEN,2020-10-08,2020-10-12,109216.11523116111,5.524591256363525,1.4,-0.04577121677835575,87.37289218492889,43.68644609246444,-4998.954485935356,-5130.01382421275,1341883.458391484
CCOLA-EGEEN,2020-07-29,2020-10-14,109379.98094564813,3.022892046398824,1.4,-0.10534890377137346,87.5039847565185,43.75199237825925,-11523.061087157748,-11654.317064292525,1331121.2690280718
GARAN-TCELL,2020-09-02,2020-10-14,99210.6145373283,-1.8669025121674678,1.244601674778312,0.02346597519221198,79.36849162986265,39.68424581493132,2328.0738195370513,2209.0210820922575,1333330.290110164
AEFES-PETKM,2020-09-04,2020-10-14,112336.89450822977,2.4826384326897433,1.4,0.0601424933039863,89.86951560658382,44.93475780329191,6756.220925751824,6621.416652341948,1339951.706762506
