Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
CCOLA-ODAS,2021-03-15,2021-06-11,102241.7562417504,2.989255965692145,1.4,-0.9139120860796064,81.79340499340033,40.896702496700165,-93439.97673134074,-93562.66683883085,1095082.1930766306
BRSAN-KCAER,2023-05-26,2023-06-16,113044.26281799572,1.5082010857046206,1.005467390469747,-0.7883713274303965,90.43541025439656,45.217705127198286,-89120.85553621389,-89256.50865159549,1823356.371726593
CCOLA-HALKB,2021-02-05,2021-05-03,89445.19176846533,2.670425899253452,1.4,-0.6488990073868901,71.55615341477227,35.778076707386134,-58040.89615408719,-58148.23038420935,1193024.6244072155
BRSAN-KCAER,2023-09-07,2023-09-28,58792.189284106185,-2.133109780919916,1.4,-0.6257985628123914,47.03375142728495,23.516875713642477,-36792.06755858773,-36862.61818572866,2313147.5690876306
REEDR-TOASO,2024-05-07,2024-05-29,269251.1793325401,-1.7277528370587962,1.151835224705864,-0.601700099745643,215.4009434660321,107.70047173301604,-162008.46146102136,-162331.5628762204,3733587.604393696
EKGYO-SASA,2020-07-22,2020-10-16,100013.92258812823,-2.043994015298741,1.3626626768658274,-0.5915207913584783,80.0111380705026,40.0055690352513,-59160.31463619522,-59280.331343300975,1243199.194657857
KOZAL-KRDMD,2023-02-24,2023-05-03,138572.76798755553,2.431260522947471,1.4,-0.5406333646867163,110.85821439004444,55.42910719502222,-74917.06181106383,-75083.3491326489,1733128.7615821625
REEDR-TTRAK,2024-02-08,2024-05-10,245934.1805510865,-2.767393990936769,1.4,-0.524190954194322,196.74734444086923,98.3736722204346,-128916.47277207272,-129211.59378873404,3789853.067850384
SASA-SOKM,2022-03-21,2022-06-17,118741.91818039164,1.837955413421892,1.225303608947928,-0.5179785750074556,94.99353454431332,47.49676727215666,-61505.76957273114,-61648.25987454761,1532162.2576430456
PETKM-PGSUS,2022-08-15,2022-10-31,127984.9169914705,6.733628059550167,1.4,-0.5075665608674064,102.3879335931764,51.1939667965882,-64960.86416026116,-65114.44606065093,1522698.6864837485
