Date,Capital,Open Gross,Idle Cash,Open Count
2020-01-03,1000331.1784434243,60000.0,987100.0,1
2020-01-04,1000662.4657878674,60000.0,987431.1784434243,1
2020-01-05,1000993.8620691391,60000.0,987762.4657878674,1
2020-01-06,1001327.7192756474,120059.63172414835,975181.0412484473,2
2020-01-07,1001661.686264029,120059.63172414835,975514.8984549555,2
2020-01-08,1001995.7630703832,120059.63172414835,975848.8654433371,2
2020-01-09,1002329.9497308215,120059.63172414835,976182.9422496913,2
2020-01-10,1002664.246281467,120059.63172414835,976517.1289101297,2
2020-01-11,1002998.6527584549,120059.63172414835,976851.4254607751,2
2020-01-12,1003333.169197932,120059.63172414835,977185.831937763,2
2020-01-13,1003667.7956360572,120059.63172414835,977520.3483772401,2
2020-01-14,1004002.5321090011,120059.63172414835,977854.9748153653,2
2020-01-15,1004339.7376747563,180299.78365068842,965238.0786241031,3
2020-01-16,1004677.054123422,180299.78365068842,965575.2841898584,3
2020-01-17,1005014.4814914594,180299.78365068842,965912.600638524,3
2020-01-18,1005352.0198153422,180299.78365068842,966250.0280065614,3
2020-01-19,1005689.6691315557,180299.78365068842,966587.5663304442,3
2020-01-20,1006027.4294765975,180299.78365068842,966925.2156466577,3
2020-01-21,1006365.300886977,180299.78365068842,967262.9759916995,3
2020-01-22,1006703.2833992158,180299.78365068842,967600.847402079,3
2020-01-23,1007041.3770498473,180299.78365068842,967938.8299143178,3
2020-01-24,1005087.5458198398,120059.63172414835,978939.6318597015,2
2020-01-25,1005422.74914757,120059.63172414835,979274.7249991479,2
2020-01-26,1005758.0626998169,120059.63172414835,979609.9283268781,2
2020-01-27,1006098.2128060958,240750.59924812638,953996.6838614697,4
2020-01-28,1006438.4747635348,240750.59924812638,954336.8339677487,4
2020-01-29,1006778.8486089138,240750.59924812638,954677.0959251877,4
2020-01-30,1007121.6999241163,301157.3301646612,942030.0226235117,5
2020-01-31,1007467.0303293751,361584.6321601082,929381.004009693,6
2020-02-01,1007812.4742892256,361584.6321601082,929726.3344149519,6
2020-02-02,1008158.031841008,361584.6321601082,930071.7783748024,6
2020-02-03,1008506.0718077188,422074.11407056864,917412.0973158358,7
2020-02-04,1008856.5958234085,482584.47837903176,904750.408956227,8
2020-02-05,1013467.9043219091,422238.9946170427,922336.8430006646,7
2020-02-06,1013817.6967845241,422238.9946170427,922686.5204792449,7
2020-02-07,1014167.604268984,422238.9946170427,923036.31294186,7
2020-02-08,1014517.6268131114,422238.9946170427,923386.2204263199,7
2020-02-09,1014867.7644547409,422238.9946170427,923736.2429704472,7
2020-02-10,1017275.7129707318,361749.51270658226,939151.0065615609,6
2020-02-11,1017626.7789736567,422786.05548482615,926376.7110414942,7
2020-02-12,1017977.9604172033,422786.05548482615,926727.7770444191,7
2020-02-13,1010861.8624354296,423295.40083765524,919504.4890811782,7
2020-02-14,1011882.9103791792,423560.12097434537,920468.2761928011,7
2020-02-15,1012232.2333857878,423560.12097434537,920817.484369695,7
2020-02-16,1012581.6712598706,423560.12097434537,921166.8073763036,7
2020-02-17,1012933.6032187039,484315.0212499376,908453.941691134,8
2020-02-18,1018740.4573170424,484381.675306626,914244.5537246137,8
2020-02-19,1019094.4170724568,484381.675306626,914598.3971261177,8
2020-02-20,1025044.2586426078,425293.11864693137,933252.6357061903,7
2020-02-21,1053340.6499466728,365293.11864693137,974442.0742447823,6
2020-02-22,1053701.3237004138,365293.11864693137,974802.6294375826,6
2020-02-23,1054062.1160540818,365293.11864693137,975163.3031913235,6
2020-02-24,1054425.5036893548,428536.8456101763,961926.694247894,7
2020-02-25,1056084.7252741246,430398.6493972698,963185.0097130934,7
2020-02-26,1060380.558401413,560508.435701609,939500.7331934671,9
2020-02-27,1060756.1747455872,687754.1027097785,912513.4263188107,11
2020-02-28,1061139.3917167098,878690.2141639842,871837.7787003305,14
2020-02-29,1061522.734700619,878690.2141639842,872220.9956714532,14
2020-03-01,1061890.715593321,878690.2141639842,872604.3386553624,14
2020-03-02,1069841.8481257646,882103.5874859301,879818.9553161603,14
2020-03-03,1070212.5869825678,882103.5874859301,880189.5768162897,14
2020-03-04,1071840.50628476,947034.2449048185,867854.5365423276,15
2020-03-05,1077510.773486352,951031.5784871455,872663.4372586521,15
2020-03-06,1077888.7827669266,1015682.2248963267,859139.0951336419,16
2020-03-07,1078266.9117435033,1015682.2248963267,859517.1044142164,16
2020-03-08,1078645.1604539836,1015682.2248963267,859895.2333907931,16
2020-03-09,1086679.8015503944,1016691.8896729138,867710.2166224145,16
2020-03-10,1108513.0590817877,891328.1314793143,916494.313742736,14
2020-03-11,1108903.4465481252,1086342.797900152,874949.3575332551,17
2020-03-12,1132406.673176358,1026374.8422695701,911340.4278018547,16
2020-03-13,1124287.469232548,838153.0736983141,943698.2948814686,13
2020-03-14,1124673.8550481787,838153.0736983141,944084.5583874106,13
2020-03-15,1125060.3632122271,838153.0736983141,944470.9442030413,13
2020-03-16,1129865.538978135,842276.3448332833,948387.9461892518,13
2020-03-17,1136673.655834336,717342.2929848074,982059.2563782077,11
2020-03-18,1137067.0010232138,921943.5510349879,938455.7923618137,14
2020-03-19,1145929.4759093623,858600.3078749775,960936.5545205818,13
2020-03-20,1146323.4558186072,858600.3078749775,961330.4097162422,13
2020-03-21,1146717.560480927,858600.3078749775,961724.3896254872,13
2020-03-22,1147111.7899358242,858600.3078749775,962118.4942878068,13
2020-03-23,1147508.6391115389,927427.0152711269,947714.981652532,14
2020-03-24,1147908.1097007205,996277.5336178192,933308.9693837077,15
2020-03-25,1148310.2034022561,1065152.0201998623,918900.4253577502,16
2020-03-26,1159775.632130104,933350.9980376435,958704.2206136239,14
2020-03-27,1166544.8219668732,864476.5114556003,980281.77812184,13
2020-03-28,1166945.5426963307,864476.5114556003,980682.3720039192,13
2020-03-29,1167346.3903133322,864476.5114556003,981083.0927333767,13
2020-03-30,1167749.9037556357,934517.2948744001,966425.1719153362,14
2020-03-31,1188928.12268589,803355.8649203116,1015801.1473066224,12
2020-04-01,1189302.0159034035,874691.552281465,1000869.4389453749,13
2020-04-02,1189676.0183441464,874691.552281465,1001243.3321628885,13
2020-04-03,1204025.7968391,878709.9818295988,1014724.8355432006,13
2020-04-04,1204404.2225566336,878709.9818295988,1015103.1507457364,13
2020-04-05,1204782.7588214492,878709.9818295988,1015481.57646327,13
2020-04-06,1242399.7331730966,675580.0383182948,1096766.6736155513,10
2020-04-07,1242783.1964783776,675580.0383182948,1097150.0249346632,10
2020-04-08,1243166.7718025413,675580.0383182948,1097533.4882399442,10
2020-04-09,1249889.7131905924,612336.31135505,1117853.7887461071,9
2020-04-10,1271771.8474858257,543509.6039589006,1154529.36547631,8
2020-04-11,1272159.8779641385,543509.6039589006,1154917.282634662,8
2020-04-12,1272548.0217955157,543509.6039589006,1155305.3131129749,8
2020-04-13,1272940.9191742733,696215.3665743624,1122861.7179820277,10
2020-04-14,1273333.9313278343,696215.3665743624,1123254.6153607853,10
2020-04-15,1267951.2586390662,628014.9472243022,1132538.67653397,9
2020-04-16,1277886.6320251746,564689.0095566965,1156088.1486821447,8
2020-04-17,1278277.092343083,564689.0095566965,1156478.4949704849,8
2020-04-18,1278667.6667238702,564689.0095566965,1156868.9552883932,8
2020-04-19,1279058.3552008572,564689.0095566965,1157259.5296691805,8
2020-04-20,1279449.157807374,564689.0095566965,1157650.2181461675,8
2020-04-21,1279840.0745767604,564689.0095566965,1158041.0207526842,8
2020-04-22,1279773.9438991493,579458.8660920203,1154798.9415626635,8
2020-04-23,1280165.4043474959,579458.8660920203,1155190.287689365,8
2020-04-24,1280563.981056204,809888.6388745694,1106039.3469894635,11
2020-04-25,1280962.6741987849,809888.6388745694,1106437.9236981715,11
2020-04-26,1281361.4838092513,809888.6388745694,1106836.6168407523,11
2020-04-27,1281765.0822198365,963652.0169316796,1074176.3001689403,13
2020-04-28,1291666.0388729488,887299.1356239486,1100492.5542426212,12
2020-04-29,1292075.0372843435,1042299.0602887026,1067571.7409108777,14
2020-04-30,1286492.9590745154,970080.2113905087,1077520.5392194986,13
2020-05-01,1286860.6782973162,970080.2113905087,1077925.7136255559,13
2020-05-02,1287228.4958405537,970080.2113905087,1078293.4328483567,13
2020-05-03,1287596.4117305165,970080.2113905087,1078661.2503915941,13
2020-05-04,1281349.3706072473,832328.1793637321,1102035.9359305003,11
2020-05-05,1281716.1063044393,986090.1038366017,1069339.998282378,13
2020-05-06,1282084.821876614,1062993.070214868,1053172.5962082427,14
2020-05-07,1302892.2501500084,832371.2292802561,1123563.800111935,11
2020-05-08,1309395.1597956046,834031.7517530158,1129707.9185263426,11
2020-05-09,1309765.6734791037,834031.7517530158,1130078.3331687064,11
2020-05-10,1310136.2862302198,834031.7517530158,1130448.8468522052,11
2020-05-11,1310508.9216195126,912639.928926829,1113918.7015109514,12
2020-05-12,1315363.0297006173,914657.5827430144,1118337.6671225964,12
2020-05-13,1315742.9056378915,1151422.9280891255,1067807.1001614553,15
2020-05-14,1302540.098139479,1161375.4676033065,1052467.782404913,15
2020-05-15,1302918.701423021,1239527.8734916754,1036041.6053387688,16
2020-05-16,1303297.40593717,1239527.8734916754,1036420.2086223108,16
2020-05-17,1303676.2117089927,1239527.8734916754,1036798.9131364597,16
2020-05-18,1305683.9224436912,1162717.9492308258,1055322.0999491997,15
2020-05-19,1306061.4867793836,1162717.9492308258,1055699.5633590636,15
2020-05-20,1289133.9180973794,1013045.8355664664,1070959.6854845753,13
2020-05-21,1293604.1859828893,1089311.8634661161,1059029.6967021748,14
2020-05-22,1293976.7242006976,1089311.8634661161,1059402.1353376743,14
2020-05-23,1294349.3620274412,1089311.8634661161,1059774.6735554826,14
2020-05-24,1294722.0994897531,1089311.8634661161,1060147.3113822262,14
2020-05-25,1295094.9366142743,1089311.8634661161,1060520.0488445382,14
2020-05-26,1295467.8734276518,1089311.8634661161,1060892.8859690593,14
2020-05-27,1304174.7411710222,1090828.0615113638,1069271.4066290138,14
2020-05-28,1304553.9724184615,1247329.0304518864,1035998.9996238666,16
2020-05-29,1304933.305064412,1247329.0304518864,1036378.2308713059,16
2020-05-30,1305312.739135986,1247329.0304518864,1036757.5635172565,16
2020-05-31,1305692.2746603023,1247329.0304518864,1037136.9975888304,16
2020-06-01,1308320.7121715762,1248903.6906439932,1039446.149351092,16
2020-06-02,1308681.0733443717,1248903.6906439932,1039806.4186831177,16
2020-06-03,1318056.8810674257,1170675.724252756,1066000.5304883858,15
2020-06-04,1329174.6417299234,1092523.3183643871,1093919.904151611,14
2020-06-05,1329538.6721520417,1172273.7968681825,1077135.7754032642,15
2020-06-06,1329902.7953737166,1172273.7968681825,1077499.8058253825,15
2020-06-07,1330267.0114186048,1172273.7968681825,1077863.9290470574,15
2020-06-08,1325148.083504596,1094947.9244603007,1089373.0297194656,14
2020-06-09,1321525.8606297793,1017447.962127924,1102415.8870587256,13
2020-06-10,1315560.960518695,1017752.0137024428,1096387.1295261774,13
2020-06-11,1320871.383441077,1020172.8592403292,1101175.6652422645,13
2020-06-12,1313726.288536109,1021381.1262051647,1093772.5879605394,13
2020-06-13,1314083.1379233333,1021381.1262051647,1094129.3464019988,13
2020-06-14,1314440.0782795066,1021381.1262051647,1094486.195789223,13
2020-06-15,1314797.109627819,1021381.1262051647,1094843.1361453962,13
2020-06-16,1315159.318231728,1258044.605938172,1044317.519351112,16
2020-06-17,1317371.9440512492,1259471.2495507346,1046222.8222366909,16
2020-06-18,1311150.045656936,1102071.8411983242,1073846.7642146815,14
2020-06-19,1311507.9724619037,1102071.8411983242,1074204.5997992964,14
2020-06-20,1311865.9905104784,1102071.8411983242,1074562.526604264,14
2020-06-21,1312224.0998259203,1102071.8411983242,1074920.5446528387,14
2020-06-22,1301410.8221751119,1022301.2616271584,1081262.4114035452,13
2020-06-23,1301767.9081514827,1178470.560288172,1048039.6517131549,15
2020-06-24,1295969.5317023415,1020178.5970751818,1076278.9261709768,13
2020-06-25,1296323.4997835914,1097936.7689773222,1059913.1263722172,14
2020-06-26,1300416.7101243655,1018968.0968036995,1080985.2547630894,13
2020-06-27,1300770.1147406853,1018968.0968036995,1081338.5693115701,13
2020-06-28,1301123.6094478043,1018968.0968036995,1081691.97392789,13
2020-06-29,1301137.078083855,1018764.6273923917,1081749.1894265255,13
2020-06-30,1291111.7219205014,1017322.4496653397,1072036.4874989032,13
2020-07-01,1291462.7191183418,1017322.4496653397,1072387.3952424536,13
2020-07-02,1291813.8057932763,1017322.4496653397,1072738.392440294,13
2020-07-03,1292168.3135216252,1172340.1063605328,1039760.6829257617,15
2020-07-04,1292522.9116219815,1172340.1063605328,1040115.1906541106,15
2020-07-05,1292877.600117383,1172340.1063605328,1040469.7887544669,15
2020-07-06,1293234.0461793775,1249912.762367576,1024146.3562083542,16
2020-07-07,1293590.5831075043,1249912.762367576,1024502.8022703486,16
2020-07-08,1293947.2109249271,1249912.762367576,1024859.3391984755,16
2020-07-09,1291432.8539578724,1249373.5713447256,1022461.5606892615,16
2020-07-10,1291483.2757413627,1249395.5597134514,1022507.2416506615,16
2020-07-11,1291839.3552432256,1249395.5597134514,1022863.2304029707,16
2020-07-12,1292195.5255177764,1249395.5597134514,1023219.3099048336,16
2020-07-13,1284954.7076153853,1170164.7899147153,1033016.6552361673,15
2020-07-14,1280155.714912142,1168065.2249691673,1028670.3371669829,15
2020-07-15,1280507.158857077,1168065.2249691673,1029021.691543771,15
2020-07-16,1283986.5300409,1090597.5877498242,1049157.3824528838,14
2020-07-17,1284338.941339012,1167636.779552278,1032944.6224371602,15
2020-07-18,1284691.442474704,1167636.779552278,1033297.0337352722,15
2020-07-19,1285044.0334708777,1167636.779552278,1033649.5348709642,15
2020-07-20,1286063.7218135968,1090127.9512046815,1051335.026785351,14
2020-07-21,1292160.1038221351,1088615.8465762478,1057754.9900689784,14
2020-07-22,1292514.5666975952,1166145.452805576,1041438.8314689363,15
2020-07-23,1292870.7866140057,1243696.3268074316,1025119.8564339974,16
2020-07-24,1293227.097338899,1243696.3268074316,1025476.0763504079,16
2020-07-25,1293583.4988954242,1243696.3268074316,1025832.3870753013,16
2020-07-26,1293939.9913067361,1243696.3268074316,1026188.7886318264,16
2020-07-27,1297486.5412770533,1166657.1350049777,1046299.5162362157,15
2020-07-28,1300048.9323729645,1010670.9967115996,1082401.6255336595,13
2020-07-29,1357249.887062378,1014583.9653200003,1138746.6298024894,13
2020-07-30,1357619.435670397,1096018.958543743,1121605.8109754734,14
2020-07-31,1357989.0784846824,1096018.958543743,1121975.3595834924,14
2020-08-01,1358358.8155292496,1096018.958543743,1122345.0023977775,14
2020-08-02,1358728.64682812,1096018.958543743,1122714.7394423448,14
2020-08-03,1359098.5724053213,1096018.958543743,1123084.5707412153,14
2020-08-04,1362780.7498211814,1100212.6722843205,1125864.0711660923,14
2020-08-05,1363155.3130750787,1263746.3622628623,1091075.281934666,16
2020-08-06,1363531.5223320704,1335892.206813577,1075938.4886101596,17
2020-08-07,1363907.827493278,1335892.206813577,1076314.6978671513,17
2020-08-08,1364284.2285831498,1335892.206813577,1076691.003028359,17
2020-08-09,1364660.7256261401,1335892.206813577,1077067.4041182308,17
2020-08-10,1365037.3186467094,1335892.206813577,1077443.901161221,17
2020-08-11,1365414.0076693248,1335892.206813577,1077820.4941817904,17
2020-08-12,1358923.9789325795,1184384.8826487893,1103909.449454922,15
2020-08-13,1359297.6057302044,1265920.321384744,1086751.1098348596,16
2020-08-14,1359671.3277737182,1265920.321384744,1087124.7366324845,16
2020-08-15,1360045.1450874011,1265920.321384744,1087498.4586759983,16
2020-08-16,1360419.05769554,1265920.321384744,1087872.2759896812,16
2020-08-17,1366850.121486077,1187856.8904255412,1111087.0156996017,15
2020-08-18,1367224.0911400553,1187856.8904255412,1111460.8900445858,15
2020-08-19,1367598.1561273243,1187856.8904255412,1111834.8596985638,15
2020-08-20,1367972.3164721867,1187856.8904255412,1112208.924685833,15
2020-08-21,1368346.5721989512,1187856.8904255412,1112583.0850306954,15
2020-08-22,1368720.9233319326,1187856.8904255412,1112957.3407574599,15
2020-08-23,1369095.3698954524,1187856.8904255412,1113331.6918904413,15
2020-08-24,1369471.6773441443,1270002.6126192682,1096044.8081823098,16
2020-08-25,1388841.6803406875,1191752.1281490067,1132235.4100356381,15
2020-08-26,1402394.1954408402,1199655.838676333,1144085.003592585,15
2020-08-27,1402777.4796565648,1199655.838676333,1144468.1901254286,15
2020-08-28,1410127.2654503928,1117888.9936870618,1169397.7312832908,14
2020-08-29,1410510.7637122087,1117888.9936870618,1169781.1318076747,14
2020-08-30,1410894.359736372,1117888.9936870618,1170164.6300694905,14
2020-08-31,1411278.0535478047,1117888.9936870618,1170548.2260936536,14
2020-09-01,1411661.845171435,1117888.9936870618,1170931.9199050865,14
2020-09-02,1412047.5549514086,1202588.704397348,1153105.273726005,15
2020-09-03,1410862.981709492,1205804.423740618,1151229.5536298905,15
2020-09-04,1417279.1147979642,1213245.2782984907,1156044.1079144194,15
2020-09-05,1417666.4855717048,1213245.2782984907,1156431.3799637887,15
2020-09-06,1418053.9550949833,1213245.2782984907,1156818.7507375292,15
2020-09-07,1418443.3519547258,1298328.5156041896,1138913.3242400824,16
2020-09-08,1420684.6644913321,1301779.3479512187,1140412.062462155,16
2020-09-09,1421076.6380955642,1387020.4278206986,1122475.272509882,17
2020-09-10,1421875.1696110542,1393053.205617456,1121976.4236672022,17
2020-09-11,1422267.5763549795,1393053.205617456,1122368.7304033013,17
2020-09-12,1422660.083132225,1393053.205617456,1122761.1371472264,17
2020-09-13,1423052.6899682917,1393053.205617456,1123153.643924472,17
2020-09-14,1423134.0437448882,1227419.4131295115,1158849.8011547462,15
2020-09-15,1423523.2116945798,1227419.4131295115,1159238.8699220433,15
2020-09-16,1423912.4788519503,1227419.4131295115,1159628.0378717347,15
2020-09-17,1420146.9739203416,1155273.568578797,1171376.399309257,14
2020-09-18,1420538.9119722664,1391744.0344419347,1120922.0065153255,17
2020-09-19,1420930.9499380314,1391744.0344419347,1121313.9445672506,17
2020-09-20,1421323.0878431068,1391744.0344419347,1121705.9825330153,17
2020-09-21,1426273.3379505647,1392213.5928371095,1126554.00588792,17
2020-09-22,1426666.8478422023,1392213.5928371095,1126947.4154905863,17
2020-09-23,1427487.732121008,1393210.5820490338,1127553.7164589835,17
2020-09-24,1427881.5730158205,1393210.5820490338,1127947.4569804657,17
2020-09-25,1427841.5461907699,1311560.1667958458,1145464.0339742135,16
2020-09-26,1428233.722495316,1311560.1667958458,1145856.110329663,16
2020-09-27,1428625.9987744384,1311560.1667958458,1146248.286634209,16
2020-09-28,1432801.61209218,1234771.9051637244,1166933.9618863727,15
2020-09-29,1433195.2501172046,1320740.0018892551,1148842.5116859903,16
2020-09-30,1433590.789286512,1404531.3451148605,1131221.0109175094,17
2020-10-01,1434073.9986975412,1404531.3451148605,1131616.5500868168,17
2020-10-02,1434557.355204076,1404531.3451148605,1132099.759497846,17
2020-10-03,1435040.8588508945,1404531.3451148605,1132583.1160043809,17
2020-10-04,1435524.509682788,1404531.3451148605,1133066.6196511993,17
2020-10-05,1436008.3077445617,1404531.3451148605,1133550.2704830929,17
2020-10-06,1436492.2530810344,1404531.3451148605,1134034.0685448665,17
2020-10-07,1430530.1992866606,1323252.430264602,1145551.5035531663,16
2020-10-08,1431012.3899780158,1401919.5953009273,1129117.486296961,17
2020-10-09,1431494.7274547645,1401919.5953009273,1129599.6769883162,17
