Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
BRSAN-KCAER,2023-07-03,2023-08-24,120471.92500012182,-1.9347773276840377,1.0,0.8495853555017971,96.37754000009744,48.18877000004873,102351.18322921434,102206.61691921418,2447381.922899468
SASA-TTKOM,2021-10-19,2022-01-12,79053.71973473742,-3.208419098991914,1.0,0.8238874978971501,63.24297578778994,31.62148789389497,65131.37135171537,65036.50688803368,1612020.2260477736
SASA-TTKOM,2021-01-13,2021-02-18,70692.38415564496,-2.370863628026824,1.0,0.8027594741875224,56.553907324515976,28.276953662257988,56748.98113384789,56664.15027286112,1202888.0237230086
BIMAS-EGEEN,2023-05-29,2023-08-24,94111.92424992876,-2.2073411751796037,1.0,0.7607796935018705,75.28953939994301,37.64476969997151,71598.44088573205,71485.50657663213,2345175.305980253
MIATK-TOASO,2024-04-18,2024-06-27,229020.7730576129,2.4285482525676803,1.0,0.7460261179017775,183.21661844609037,91.60830922304515,170855.47824303497,170580.65331536584,4353709.443442949
THYAO-TTRAK,2020-04-29,2020-07-29,77499.96233237693,2.625207236071875,1.0,0.7345326141447958,61.99996986590155,30.99998493295077,56926.24992812403,56833.249973325175,1356882.1823462895
REEDR-SISE,2024-02-05,2024-03-06,190163.52279303555,-2.753976761677818,1.0,0.679554776059059,152.13081823442843,76.06540911721422,129226.53014622304,128998.3339188714,3324467.490338004
REEDR-TKFEN,2024-02-01,2024-04-03,188525.5259908345,-4.700719875758765,1.0,0.6772228291437108,150.82042079266756,75.41021039633378,127673.79007731908,127447.5594461301,3664430.088750223
REEDR-TTRAK,2024-03-19,2024-05-24,202601.034036968,1.8766559658225752,1.0,0.6658924114506946,162.0808272295744,81.0404136147872,134910.49111728085,134667.36987643648,4253847.048321869
ALARK-TKFEN,2020-11-27,2021-02-22,75262.0595959331,-2.148020064614474,1.0,0.6508772157952614,60.20964767674648,30.10482383837324,48986.35980481797,48896.04533330285,1254341.0200755133
