Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
CCOLA-TSKB,2020-01-15,2020-01-24,60240.151926540064,2.159645001554687,1.0,-0.03679665665261162,48.192121541232055,24.096060770616027,-2216.6361871420554,-2288.9243694539036,1004752.4526803934
EKGYO-SASA,2020-01-27,2020-02-05,60345.48376198901,1.6882213601779137,1.0,0.07182054613281008,48.27638700959121,24.138193504795606,4334.045600434673,4261.631019920286,1013118.2268433288
ENKAI-ZOREN,2020-02-03,2020-02-10,60489.481910460476,2.0957103050296055,1.0,0.035245379026118476,48.39158552836838,24.19579276418419,2131.9747170277165,2059.3873387351637,1016927.1517934761
TSKB-ZOREN,2020-01-27,2020-02-13,60345.48376198901,1.5834349123224332,1.0,-0.014181456473856125,48.27638700959121,24.138193504795606,-855.7868513644387,-928.2014318788255,1017049.7589853244
ENKAI-VESTL,2020-01-30,2020-02-13,60406.73091653483,-2.0447774963976766,1.0,-0.10701242310037111,48.325384733227864,24.162692366613932,-6464.270646950493,-6536.758724050334,1010513.000261274
CCOLA-TSKB,2020-01-31,2020-02-14,60427.30199544697,-1.8391222782344456,1.0,0.012318149324395539,48.34184159635758,24.17092079817879,744.3525292502603,671.839766855724,1011533.7022022853
PGSUS-TAVHL,2020-02-11,2020-02-18,61036.54277824391,-4.91036185450296,1.0,0.09054009772876707,48.829234222595126,24.414617111297563,5526.2545481682755,5453.0106968343825,1018386.6139155383
ENKAI-KOZAA,2020-01-06,2020-02-20,60059.63172414835,-1.8742777831002908,1.0,0.002204565011708723,48.04770537931868,24.02385268965934,132.40536271516868,60.33380464619067,1019154.750877103
ALARK-TKFEN,2020-02-04,2020-02-20,60510.364308463126,-1.8161221707093256,1.0,0.09268689487237562,48.408291446770505,24.204145723385253,5608.517775347672,5535.905338177516,1024690.6562152805
ODAS-TKFEN,2020-01-03,2020-02-21,60000.0,-2.5947216752477953,1.0,0.4667972685210778,48.0,24.0,28007.836111264667,27935.836111264667,1052980.0947538726
BIMAS-DOHOL,2020-02-20,2020-02-25,61481.43937291683,2.316027970110506,1.0,0.022266774905765226,49.18515149833347,24.592575749166734,1368.9933713991907,1295.2156441516904,1055720.7193335064
SOKM-THYAO,2020-02-14,2020-02-26,60692.022132137114,2.125043739326383,1.0,0.06587607203204221,48.55361770570969,24.276808852854845,3998.1520217469647,3925.3215951884004,1060010.046869313
GARAN-TCELL,2020-02-17,2020-03-02,60754.900275592234,2.8958981312811973,1.0,0.12597201012474718,48.60392022047379,24.301960110236895,7653.416912644911,7580.5110323142,1069471.2266256353
ENKAI-ZOREN,2020-02-28,2020-03-04,63645.37048473523,-2.235805100370838,1.0,0.020907831139057406,50.91629638778819,25.458148193894093,1330.6866588775924,1254.31221429591,1071466.8991968636
SOKM-TCELL,2020-02-13,2020-03-05,60630.78001567644,2.6413112057558803,1.0,0.08852726755715962,48.50462401254116,24.25231200627058,5367.477284647075,5294.720348628263,1077135.2266333883
THYAO-TTRAK,2020-03-02,2020-03-09,64168.273597538115,3.0580218890260964,1.0,0.12047720692801929,51.3346188780305,25.66730943901525,7730.814376424356,7653.81244810731,1086298.972902091
AEFES-TTKOM,2020-02-26,2020-03-10,63600.60281215879,1.8844809172688561,1.0,0.09223892375147409,50.88048224972703,25.440241124863515,5866.451153338503,5790.130429963912,1092469.9319803582
CCOLA-ENKAI,2020-02-27,2020-03-10,63622.83350408478,-2.321875462101863,1.0,0.14952047071815433,50.89826680326783,25.449133401633915,9512.916013953516,9436.568613748614,1101906.5005941067
DOAS-EKGYO,2020-03-05,2020-03-10,64628.1135980033,-2.5702668170417318,1.0,0.09749495695003926,51.70249087840264,25.85124543920132,6300.915152999579,6223.361416681975,1108129.8620107886
PGSUS-TAVHL,2020-02-26,2020-03-12,63600.60281215879,2.0525545798714884,1.0,0.18950336906528542,50.88048224972703,25.440241124863515,12052.528507487157,11976.207784112567,1120879.6543322378
ENJSA-GUBRF,2020-03-04,2020-03-12,64288.013951811816,2.208322492466601,1.0,0.17434836582007604,51.430411161449456,25.715205580724728,11208.51017431664,11131.364557574465,1132011.0188898123
EKGYO-SASA,2020-02-13,2020-03-13,60630.78001567644,-2.6766460991128307,1.0,-0.09374270616131761,48.50462401254116,24.25231200627058,-5683.693395341044,-5756.450331359856,1126650.2228449981
ENKAI-VESTL,2020-02-18,2020-03-13,61103.19683493229,1.789358696448632,1.0,-0.07026005711549041,48.88255746794584,24.44127873397292,-4293.114099561396,-4366.437935763314,1122283.7849092348
ENKAI-ZOREN,2020-03-10,2020-03-13,66487.79172064732,-4.027126512794465,1.0,0.0255265835052396,53.19023337651786,26.59511668825893,1697.2061674360818,1617.420817371305,1123901.205726606
AEFES-BRSAN,2020-02-28,2020-03-16,63645.37048473523,2.0851121572362694,1.0,0.07060013205265395,50.91629638778819,25.458148193894093,4493.371560762391,4416.997116180709,1129477.3603284077
CCOLA-TSKB,2020-02-28,2020-03-17,63645.37048473523,2.470605335666012,1.0,0.010989240240982134,50.91629638778819,25.458148193894093,699.414266483069,623.0398219013867,1130488.5788000363
BIMAS-DOHOL,2020-03-04,2020-03-17,64288.013951811816,1.9915038950485624,1.0,-0.023904614315147107,51.430411161449456,25.715205580724728,-1536.7801786048576,-1613.925795347032,1128874.6530046894
TSKB-ZOREN,2020-03-09,2020-03-17,65177.93837412546,-3.1856998110063435,1.0,0.11493781604904109,52.142350699300366,26.071175349650183,7491.409891300968,7413.196365252018,1136287.8493699413
ALARK-TKFEN,2020-02-25,2020-03-19,63343.24316001038,3.300978615381083,1.0,0.13489412849758214,50.674594528008306,25.337297264004153,8544.631582280032,8468.619690488018,1145535.620713702
ODAS-TKFEN,2020-02-26,2020-03-26,63600.60281215879,3.3188178082899933,1.0,0.07702247379217597,50.88048224972703,25.440241124863515,4898.675763266094,4822.355039891503,1153132.5584421477
DOAS-EKGYO,2020-03-18,2020-03-26,68200.41935006017,-3.510124030466027,1.0,0.09272622240531753,54.56033548004814,27.28016774002407,6323.9672527896,6242.126749569528,1159374.6851917172
ENJSA-GUBRF,2020-03-25,2020-03-27,68874.48658204323,1.9542599690289968,1.0,0.09366669225045839,55.099589265634584,27.549794632817292,6451.245338588569,6368.595954690118,1166144.228084794
AEFES-PETKM,2020-03-06,2020-03-31,64650.64640918112,3.0530218189770517,1.0,0.07797207378672266,51.7205171273449,25.86025856367245,5040.944972175987,4963.364196484969,1172713.2679521206
THYAO-TTRAK,2020-03-11,2020-03-31,66510.78354490726,-5.41806486943162,1.0,0.23889664811863676,53.20862683592581,26.604313417962906,15889.203252622525,15809.390312368636,1188522.6582644894
EKGYO-SASA,2020-03-18,2020-04-03,68200.41935006017,2.9539190798344226,1.0,0.2060589059358249,54.56033548004814,27.28016774002407,14053.303795637861,13971.46329241779,1203647.4816365642
CCOLA-EGEEN,2020-03-11,2020-04-06,66510.78354490726,5.150812000621032,1.0,0.09211099165085188,53.20862683592581,26.604313417962906,6126.374227796568,6046.56128754268,1210829.3201089918
CCOLA-ENKAI,2020-03-16,2020-04-06,67768.64161970446,2.137699039220051,1.0,0.11837721958465422,54.21491329576357,27.107456647881786,8022.263369969492,7940.941000025846,1218770.2611090178
DOAS-SASA,2020-03-24,2020-04-06,68850.51834669233,2.6913821079836597,1.0,0.3388317463277833,55.08041467735387,27.540207338676936,23328.741366982846,23246.120744966815,1242016.3818539847
CCOLA-DOHOL,2020-02-24,2020-04-09,63243.72696324491,-1.6207051702504465,1.0,0.10143640587446254,50.59498157059593,25.297490785297963,6415.216357257401,6339.323884901507,1249506.095687443
PGSUS-TAVHL,2020-03-23,2020-04-10,68826.70739614945,-2.183949192643759,1.0,0.3134947174149423,55.06136591691956,27.53068295845978,21576.80918575679,21494.21713688141,1271383.9303274737
AEFES-TTKOM,2020-03-18,2020-04-15,68200.41935006017,-1.5997584072262259,1.0,-0.08343351392331519,54.56033548004814,27.28016774002407,-5690.20063741918,-5772.041140639251,1267561.890187195
ENKAI-KOZAA,2020-02-27,2020-04-16,63622.83350408478,1.7374056557154618,1.0,0.029616945677620462,50.89826680326783,25.449133401633915,1884.3140037467701,1807.9666035418684,1269759.2252426082
ENKAI-ZOREN,2020-04-13,2020-04-16,76352.88130773093,3.387500594853206,1.0,0.10253292105955995,61.08230504618475,30.541152523092375,7828.683951795526,7737.060494226249,1277496.2857368344
CCOLA-FROTO,2020-03-11,2020-04-22,61993.09933102314,1.7968211937537302,1.0,-0.006179479478349986,49.59447946481852,24.79723973240926,-383.0850851153698,-457.47680431259755,1279382.5977724479
ENKAI-VESTL,2020-04-13,2020-04-28,76352.88130773093,4.549308652421756,1.0,0.12558019390071207,61.08230504618475,30.541152523092375,9588.409639502905,9496.786181933629,1291261.8684017702
SOKM-THYAO,2020-04-03,2020-04-30,72218.84889819386,1.668810658735727,1.0,-0.08170429309286548,57.77507911855509,28.887539559277545,-5900.589997207396,-5987.252615885229,1286087.7846684582
BIMAS-KOZAL,2020-03-12,2020-05-04,67920.66113338874,1.8949408110937993,1.0,-0.01697531685297486,54.336528906710996,27.168264453355498,-1152.9747436028085,-1234.479536962875,1286361.9321935535
AEFES-BRSAN,2020-03-30,2020-05-04,70040.78341879993,-1.927585264571205,1.0,-0.08301526857656374,56.03262673503994,28.01631336751997,-5814.454446824609,-5898.503386927168,1280463.4288066265
