Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
BRSAN-KCAER,2023-03-09,2023-06-06,116518.3233120009,2.100916296027634,1.0,-0.964585165854459,93.21465864960072,46.60732932480036,-112391.84621698986,-112531.66820496424,1898502.2542690728
CCOLA-ODAS,2021-03-15,2021-06-04,75698.93091776736,2.989255965692145,1.0,-0.8342683715957502,60.55914473421389,30.279572367106944,-63153.22382830496,-63244.06254540628,1239948.0603579683
BRSAN-KCAER,2023-09-07,2023-09-28,153394.85691394107,-2.133109780919916,1.0,-0.6257985628123914,122.71588553115286,61.35794276557643,-95994.28099955677,-96178.35482785349,2550751.455803883
EKGYO-SASA,2020-07-22,2020-10-16,77529.6062293281,-2.043994015298741,1.0,-0.5915207913584783,62.02368498346248,31.01184249173124,-45860.37403048337,-45953.40955795856,1361734.736703361
REEDR-TOASO,2024-05-07,2024-05-28,239989.91893744437,-1.7277528370587962,1.0,-0.5886538208330102,191.99193514995548,95.99596757497774,-141270.982743931,-141558.97064665591,4158186.208004
DOAS-EKGYO,2020-09-18,2020-11-23,85208.8184352205,1.6417809206348224,1.0,-0.5600561522746195,68.1670547481764,34.0835273740882,-47721.722992696254,-47823.97357481852,1255104.2665977047
KOZAL-KRDMD,2023-02-24,2023-05-03,113101.3333058004,2.431260522947471,1.0,-0.5406333646867163,90.48106664464034,45.24053332232017,-61146.35437566864,-61282.075975635606,1964010.8338246865
PETKM-PGSUS,2022-08-15,2022-10-27,101045.80562106888,6.733628059550167,1.0,-0.516375530972969,80.83664449685511,40.41832224842756,-52177.58153017086,-52298.83649691614,1631390.288958589
SASA-TAVHL,2022-12-19,2023-03-02,98725.32998919564,1.959865744707747,1.0,-0.4691984121698467,78.98026399135652,39.49013199567826,-46321.76807187474,-46440.238467861775,1937424.3326088092
SASA-TTKOM,2021-02-23,2021-03-24,75489.55954621112,3.161566826676685,1.0,-0.4457865163293218,60.391647636968905,30.195823818484453,-33652.22776934036,-33742.81524079581,1210520.776670258
