Date,Capital,Open Gross,Idle Cash,Open Count
2020-01-03,1000332.8932281486,103788.86700991182,977685.3935928689,1
2020-01-04,1000665.8959211865,103788.86700991182,978018.2868210175,1
2020-01-05,1000999.0081151092,103788.86700991182,978351.2895140555,1
2020-01-06,1001335.1686693515,178834.87508253488,962549.5099723642,2
2020-01-07,1001671.4397628742,178834.87508253488,962885.6705266065,2
2020-01-08,1002007.8214320258,178834.87508253488,963221.9416201292,2
2020-01-09,1002344.3137131667,178834.87508253488,963558.3232892808,2
2020-01-10,1002680.9166426695,178834.87508253488,963894.8155704217,2
2020-01-11,1003017.6302569184,178834.87508253488,964231.4184999245,2
2020-01-12,1003354.4545923098,178834.87508253488,964568.1321141734,2
2020-01-13,1003691.389685252,178834.87508253488,964904.9564495648,2
2020-01-14,1004028.4355721652,178834.87508253488,965241.891542507,2
2020-01-15,1004368.9888102174,265568.67477462284,946931.1704956213,3
2020-01-16,1004709.6540319909,265568.67477462284,947271.7237336735,3
2020-01-17,1005050.4312743094,265568.67477462284,947612.388955447,3
2020-01-18,1005391.3205740085,265568.67477462284,947953.1661977655,3
2020-01-19,1005732.3219679358,265568.67477462284,948294.0554974646,3
2020-01-20,1006073.4354929511,265568.67477462284,948635.0568913919,3
2020-01-21,1006414.6611859264,265568.67477462284,948976.1704164072,3
2020-01-22,1006755.9990837458,265568.67477462284,949317.3961093825,3
2020-01-23,1007097.4492233053,265568.67477462284,949658.7340072019,3
2020-01-24,1004138.9370272612,178834.87508253488,965352.3566734836,2
2020-01-25,1004476.1300806416,178834.87508253488,965689.4388845162,2
2020-01-26,1004813.4340128178,178834.87508253488,966026.6319378966,2
2020-01-27,1005155.9982882622,310331.04204576084,938092.2599729792,4
2020-01-28,1005498.6752087151,310331.04204576084,938434.8242484236,4
2020-01-29,1005841.4648112175,310331.04204576084,938777.5011688765,4
2020-01-30,1006187.5888059965,392599.921733347,921432.481638548,5
2020-01-31,1006536.7252641264,466620.0021595913,905864.2883416843,6
2020-02-01,1006885.976528388,466620.0021595913,906213.4247998144,6
2020-02-02,1007235.3426365327,466620.0021595913,906562.6760640759,6
2020-02-03,1007588.1301230283,551054.9416457276,888758.5301827013,7
2020-02-04,1007943.8999977164,624251.067328127,873374.150647481,8
2020-02-05,1013090.584871226,556397.1672363606,893110.3885236206,7
2020-02-06,1013445.5069332543,556397.1672363606,893465.1939154085,7
2020-02-07,1013800.5457038876,556397.1672363606,893820.1159774368,7
2020-02-08,1014155.7012215031,556397.1672363606,894175.15474807,7
2020-02-09,1014510.9735244905,556397.1672363606,894530.3102656855,7
2020-02-10,1017738.6209301628,471962.2277502243,915913.7140760452,6
2020-02-11,1018096.5474964544,594090.8622618439,890009.0855438664,7
2020-02-12,1018454.5917593186,594090.8622618439,890367.012110158,7
2020-02-13,1008930.7664879629,662721.6771670771,866088.0055938696,7
2020-02-14,1010112.1838151803,674532.4306663435,864729.2602018819,7
2020-02-15,1010470.7527042431,674532.4306663435,865087.7112219165,7
2020-02-16,1010829.4395010927,674532.4306663435,865446.2801109792,7
2020-02-17,1011192.8295370695,791622.794062153,840630.5387777297,8
2020-02-18,1022468.9932886675,742650.5734577852,862433.9403863947,8
2020-02-19,1022834.2929790986,742650.5734577852,862799.1199952437,8
2020-02-20,1029971.7444825692,689792.3070183218,881300.8218195084,7
2020-02-21,1078673.0801921226,586003.44000841,952304.8178634734,6
2020-02-22,1079050.7270593187,586003.44000841,952682.3405903145,6
2020-02-23,1079428.4981076908,586003.44000841,953059.9874575105,6
2020-02-24,1079809.133713885,655980.8539203624,938392.6145148128,7
2020-02-25,1082201.3341646101,690415.2143059549,933379.293100483,7
2020-02-26,1088145.715245004,906415.4983769088,892873.2032111115,9
2020-02-27,1088545.288782675,1066382.800940104,858873.4130428816,11
2020-02-28,1088944.9937116434,1066382.800940104,859272.9865805526,11
2020-02-29,1089344.8300751143,1066382.800940104,859672.691509521,11
2020-03-01,1089728.4244271577,1066382.800940104,860072.5278729919,11
2020-03-02,1104726.925683007,1081813.0004764094,871748.2293318618,11
2020-03-03,1105115.95007665,1081813.0004764094,872137.130580579,11
2020-03-04,1105505.0976542118,1081813.0004764094,872526.1549742218,11
2020-03-05,1115203.0455914545,1089869.1973902013,880488.6587727831,11
2020-03-06,1115595.6792586667,1089869.1973902013,880881.1681525612,11
2020-03-07,1115988.4372526684,1089869.1973902013,881273.8018197734,11
2020-03-08,1116381.3196128276,1089869.1973902013,881666.5598137751,11
2020-03-09,1132586.1352885724,1093211.1947244746,897147.595354137,11
2020-03-10,1166480.2107702913,935470.5121077356,964950.9046016161,9
2020-03-11,1166891.0126551085,1143150.6065548854,920702.830360991,11
2020-03-12,1184124.066911509,1143565.9969833135,937841.105532357,11
2020-03-13,1172448.979281188,822496.5980739525,995211.2691052586,8
2020-03-14,1172850.047828697,822496.5980739525,995612.2106952881,8
2020-03-15,1173251.243373886,822496.5980739525,996013.279242797,8
2020-03-16,1173656.202525388,922818.920302916,974845.1755087591,9
2020-03-17,1189516.7091270352,862548.2597584955,1003661.0375648416,9
2020-03-18,1189934.9029571237,1145839.7089686277,943161.1716987803,11
2020-03-19,1207709.9539897651,1016021.4812674762,988846.2193002224,10
2020-03-20,1208129.2029192448,1016021.4812674762,989265.3355172577,10
2020-03-21,1208548.5846031918,1016021.4812674762,989684.5844467373,10
2020-03-22,1208968.099083643,1016021.4812674762,990103.9661306844,10
2020-03-23,1209391.5747518921,1121634.4774245075,967816.6864373737,11
2020-03-24,1209817.4888255326,1185203.7432568541,954572.7699516686,12
2020-03-25,1210243.5377641474,1185203.7432568541,954998.684025309,12
2020-03-26,1233628.8536869457,911931.4339181524,1037140.0465492572,10
2020-03-27,1234052.5366482602,911931.4339181524,1037563.595394543,10
2020-03-28,1234476.3537680707,911931.4339181524,1037987.2783558575,10
2020-03-29,1234900.3050888586,911931.4339181524,1038411.095475668,10
2020-03-30,1235327.8420879154,1007146.4591703031,1018363.8163672434,11
2020-03-31,1269033.1883720728,867168.8338778683,1082158.755147792,10
2020-04-01,1269433.3857511042,970245.8127046197,1060430.3386405795,11
2020-04-02,1269833.7000374452,970245.8127046197,1060830.536019611,11
2020-04-03,1299033.7109937943,916382.8387461079,1101604.1950582964,11
2020-04-04,1299441.0355534605,916382.8387461079,1102011.400663381,11
2020-04-05,1299848.4791024576,916382.8387461079,1102418.7252230472,11
2020-04-06,1339633.8979344363,684788.7815300828,1191992.2826983721,8
2020-04-07,1340046.0455046203,684788.7815300828,1192404.3099054685,8
2020-04-08,1340458.313473053,684788.7815300828,1192816.4574756525,8
2020-04-09,1347884.90902573,614811.3676181305,1215288.1538980787,7
2020-04-10,1381286.1471139996,509198.37146109925,1271389.6399517993,6
2020-04-11,1381705.1267703855,509198.37146109925,1271808.4972498633,6
2020-04-12,1382124.2288208373,509198.37146109925,1272227.4769062493,6
2020-04-13,1382553.5327309063,840908.1863781002,1201328.9687495457,8
2020-04-14,1382982.9620510046,840908.1863781002,1201758.2726596147,8
2020-04-15,1383412.5168177679,840908.1863781002,1202187.701979713,8
2020-04-16,1402324.960550539,738268.7677572032,1243165.215468396,7
2020-04-17,1402757.046750825,738268.7677572032,1243597.1754827402,7
2020-04-18,1403189.2591739143,738268.7677572032,1244029.2616830263,7
2020-04-19,1403621.59785668,738268.7677572032,1244461.4741061158,7
2020-04-20,1404054.0628360054,738268.7677572032,1244893.8127888814,7
2020-04-21,1404486.654148785,738268.7677572032,1245326.2777682068,7
2020-04-22,1404924.4930881523,906807.1662550573,1209523.1134039476,8
2020-04-23,1405362.459930837,906807.1662550573,1209960.952343315,8
2020-04-24,1405812.1201264488,1287420.0414798975,1128567.151012659,11
2020-04-25,1406261.9116786523,1287420.0414798975,1129016.811208271,11
2020-04-26,1406711.8346258197,1287420.0414798975,1129466.6027604742,11
2020-04-27,1407164.6589460515,1378577.597933303,1110317.6510701596,12
2020-04-28,1428247.6676291074,1212722.6904748026,1167058.346043042,11
2020-04-29,1428706.9512681384,1384112.4105902954,1130663.499352194,12
2020-04-30,1421974.9550632006,1297425.9404339192,1142573.6935458155,11
2020-05-01,1422386.9094990143,1297425.9404339192,1143028.3778699078,11
2020-05-02,1422798.9740828362,1297425.9404339192,1143440.3323057215,11
2020-05-03,1423211.1488441175,1297425.9404339192,1143852.3968895436,11
2020-05-04,1414800.3607783471,1101509.7947539086,1177570.6212043355,9
2020-05-05,1415211.3198841107,1335145.8259451631,1127744.008200137,11
2020-05-06,1415623.6554712697,1386907.0934864285,1117026.2947845287,12
2020-05-07,1444666.8418085487,1068003.269580291,1214633.8412948833,9
2020-05-08,1454418.3486855482,1125451.3846199773,1212029.9914050861,9
2020-05-09,1454834.7695851997,1125451.3846199773,1212446.300992253,9
2020-05-10,1455251.3018270985,1125451.3846199773,1212862.7218919045,9
2020-05-11,1455672.1801925038,1298510.1152561847,1176071.6270470186,10
2020-05-12,1456095.9384887763,1411603.4517417043,1152177.4380680374,11
2020-05-13,1456519.8100891626,1411603.4517417043,1152601.1963643099,11
2020-05-14,1441883.5675103606,1412634.311409486,1137747.2061178645,11
2020-05-15,1442303.6642448807,1412634.311409486,1138167.190557321,11
2020-05-16,1442723.8733044893,1412634.311409486,1138587.287291841,11
2020-05-17,1443144.1947192203,1412634.311409486,1139007.4963514498,11
2020-05-18,1447140.8219329715,1243990.8162177857,1179265.5323099243,10
2020-05-19,1447558.197636906,1243990.8162177857,1179682.7964461476,10
2020-05-20,1421409.8669124937,967121.4678592887,1213075.13845609,8
2020-05-21,1421818.2529960352,1157775.1027514744,1172488.2198209267,10
2020-05-22,1422226.748273482,1157775.1027514744,1172896.605904468,10
2020-05-23,1422635.3527740305,1157775.1027514744,1173305.101181915,10
2020-05-24,1423044.0665268847,1157775.1027514744,1173713.7056824635,10
2020-05-25,1423452.8895612562,1157775.1027514744,1174122.4194353176,10
2020-05-26,1423861.8219063645,1157775.1027514744,1174531.242469689,10
2020-05-27,1436956.3872922186,1260688.5249895446,1165493.4041762198,10
2020-05-28,1437374.1199668853,1369862.1927883623,1142436.0158427209,11
2020-05-29,1437791.9643345405,1369862.1927883623,1142853.7485173875,11
2020-05-30,1438209.9204250486,1369862.1927883623,1143271.5928850425,11
2020-05-31,1438627.988268282,1369862.1927883623,1143689.5489755506,11
2020-06-01,1440552.08961616,1411351.5371730244,1136714.0492761922,11
2020-06-02,1440949.6507853977,1411351.5371730244,1137111.5091239596,11
2020-06-03,1461213.7592910405,1238966.5647271476,1194436.9261022077,10
2020-06-04,1461612.8827831764,1238966.5647271476,1194835.9478747037,10
2020-06-05,1462014.8278213441,1365519.265381989,1168026.2407260486,11
2020-06-06,1462416.8753243585,1365519.265381989,1168428.1857642164,11
2020-06-07,1462819.0253183397,1365519.265381989,1168830.233267231,11
2020-06-08,1455574.3058736837,1257679.899930361,1184775.1407993848,10
2020-06-09,1447162.8142950332,1086290.1798148681,1213218.265251875,9
2020-06-10,1433632.9387299127,1069011.4889158607,1203407.127670545,9
2020-06-11,1440009.5435880153,1148931.7276122074,1192597.5389192593,9
2020-06-12,1431548.5893915782,1203418.8397619752,1172422.8412404233,9
2020-06-13,1431939.3865915302,1203418.8397619752,1172813.5388427535,9
2020-06-14,1432330.2834144935,1203418.8397619752,1173204.3360427055,9
2020-06-15,1432721.2798858644,1203418.8397619752,1173595.2328656688,9
2020-06-16,1433116.6882469014,1404066.854288147,1130846.9062139126,11
2020-06-17,1435875.3422257197,1406769.5892753776,1133023.7110357708,11
2020-06-18,1434689.2649141992,1313518.97734945,1151888.8211487776,10
2020-06-19,1435083.2289542041,1313518.97734945,1152282.6847840676,10
2020-06-20,1435477.293424519,1313518.97734945,1152676.6488240724,10
2020-06-21,1435871.4583507462,1313518.97734945,1153070.7132943873,10
2020-06-22,1430478.8034264208,1268607.1965409818,1157336.430575863,10
2020-06-23,1430873.5763949777,1401101.269414923,1129242.0305022122,11
2020-06-24,1420231.4676571619,1100068.3240682753,1183331.1852200986,9
2020-06-25,1420619.4055236874,1204612.6119336982,1161239.7560914168,10
2020-06-26,1427315.0633731766,1042394.0655458721,1202814.1803977787,9
2020-06-27,1427701.320696812,1042394.0655458721,1203200.3392808142,9
2020-06-28,1428087.6764861417,1042394.0655458721,1203586.5966044494,9
2020-06-29,1427999.352745688,1030289.6732534395,1206100.9997914296,9
2020-06-30,1420122.724493545,1068598.7950119723,1189989.0946709043,9
2020-07-01,1420507.7115054629,1068598.7950119723,1190373.983565971,9
2020-07-02,1420892.7966592442,1068598.7950119723,1190758.970577889,9
2020-07-03,1421283.0311882787,1303632.235911458,1140611.8659382807,11
2020-07-04,1421673.3651968872,1303632.235911458,1141002.1004673154,11
2020-07-05,1422063.7987104289,1303632.235911458,1141392.434475924,11
2020-07-06,1422456.2657756093,1393622.5227362202,1122434.9563221415,12
2020-07-07,1422848.8328894873,1393622.5227362202,1122827.4233873219,12
2020-07-08,1423241.5000775675,1393622.5227362202,1123219.9905011998,12
2020-07-09,1419654.9036088393,1390877.945272657,1120224.4512282738,12
2020-07-10,1419647.6235148048,1390870.812748967,1120218.706635469,12
2020-07-11,1420039.415504264,1390870.812748967,1120610.3987737768,12
2020-07-12,1420431.3073703288,1390870.812748967,1121002.190763236,12
2020-07-13,1404258.6882881313,1218116.6695062611,1141979.5459825161,11
2020-07-14,1404644.712928074,1305052.331854106,1123672.4369394984,12
2020-07-15,1405030.8359743948,1305052.331854106,1124058.461579441,12
2020-07-16,1409499.560762276,1203940.343006216,1150267.2975702889,11
2020-07-17,1409887.1180412525,1314201.2073401238,1126946.3011841495,12
2020-07-18,1410274.7741173115,1314201.2073401238,1127333.8584631258,12
2020-07-19,1410662.5290156384,1314201.2073401238,1127721.514539185,12
2020-07-20,1412045.941416921,1198513.4688947038,1153979.923796188,11
2020-07-21,1419833.1415411702,1202934.5247603883,1160814.5172918104,11
2020-07-22,1420223.4366399988,1319019.7425217067,1136243.896899003,12
2020-07-23,1420615.3957944221,1391818.9679071987,1120982.358539951,13
2020-07-24,1421007.4548680652,1391818.9679071987,1121374.3176943744,13
2020-07-25,1421399.6138863994,1391818.9679071987,1121766.3767680177,13
2020-07-26,1421791.8728749033,1391818.9679071987,1122158.5357863517,13
2020-07-27,1426749.8104330378,1281558.1035732909,1150823.66466982,12
2020-07-28,1430478.2774836954,1050727.1310391447,1204184.8002142275,10
2020-07-29,1430869.2094370022,1222384.524337188,1167665.6047512,11
2020-07-30,1431262.6979180698,1336703.0519165527,1143478.0532749435,12
2020-07-31,1431656.2867082169,1336703.0519165527,1143871.541756011,12
2020-08-01,1432049.9758330146,1336703.0519165527,1144265.1305461582,12
2020-08-02,1432443.7653180403,1336703.0519165527,1144658.8196709557,12
2020-08-03,1432837.6551888783,1336703.0519165527,1145052.6091559813,12
2020-08-04,1436342.289784388,1407048.5883180161,1133430.548800591,12
2020-08-05,1436738.6853042073,1407048.5883180161,1133826.8432960145,12
2020-08-06,1437135.1818741758,1407048.5883180161,1134223.2388158338,12
2020-08-07,1437531.7795200534,1407048.5883180161,1134619.7353858023,12
2020-08-08,1437928.4782676068,1407048.5883180161,1135016.33303168,12
2020-08-09,1438325.278142609,1407048.5883180161,1135413.0317792334,12
2020-08-10,1438722.1791708395,1407048.5883180161,1135809.8316542355,12
2020-08-11,1439119.1813780847,1407048.5883180161,1136206.732682466,12
2020-08-12,1433302.0733253406,1190717.8057802028,1176906.8734856383,10
2020-08-13,1433696.0893360905,1332391.4695200454,1146837.9073785308,11
2020-08-14,1434090.2057903989,1332391.4695200454,1147231.9233892807,11
2020-08-15,1434484.4227138713,1332391.4695200454,1147626.039843589,11
2020-08-16,1434878.7401321197,1332391.4695200454,1148020.2567670615,11
2020-08-17,1443875.5885505076,1221523.2105913141,1180853.870052156,10
2020-08-18,1444269.9172693822,1221523.2105913141,1181248.098273375,10
2020-08-19,1444664.3465115319,1221523.2105913141,1181642.4269922497,10
2020-08-20,1445058.8763025822,1221523.2105913141,1182036.8562343991,10
2020-08-21,1445453.5066681656,1221523.2105913141,1182431.3860254497,10
2020-08-22,1445848.2376339205,1221523.2105913141,1182826.0163910328,10
2020-08-23,1446243.0692254922,1221523.2105913141,1183220.7473567878,10
2020-08-24,1446640.8737183698,1355169.4023041483,1154881.6477301004,11
2020-08-25,1447038.7796205755,1355169.4023041483,1155279.4522229778,11
2020-08-26,1471337.7313802785,1365850.8008295684,1177275.4810279212,11
2020-08-27,1471742.16262664,1365850.8008295684,1177679.8092019213,11
2020-08-28,1472146.6969716384,1365850.8008295684,1178084.2404482828,11
2020-08-29,1472551.334441556,1365850.8008295684,1178488.7747932812,11
2020-08-30,1472956.0750626815,1365850.8008295684,1178893.4122631988,11
2020-08-31,1473360.9188613105,1365850.8008295684,1179298.1528843243,11
2020-09-01,1473765.8658637453,1365850.8008295684,1179702.9966829533,11
2020-09-02,1474172.601879853,1444290.5485464705,1163243.3979262542,12
2020-09-03,1471266.8646297692,1383041.314264583,1173508.3025949865,12
2020-09-04,1478668.5966595423,1439850.511477848,1168692.9502359238,12
2020-09-05,1479076.4870693788,1439850.511477848,1169100.736691805,12
2020-09-06,1479484.481459671,1439850.511477848,1169508.6271016416,12
2020-09-07,1479892.5798569256,1439850.511477848,1169916.6214919337,12
2020-09-08,1480300.7822876568,1439850.511477848,1170324.7198891882,12
2020-09-09,1480709.0887783847,1439850.511477848,1170732.9223199193,12
2020-09-10,1481117.4993556365,1439850.511477848,1171141.2288106475,12
2020-09-11,1481526.0140459465,1439850.511477848,1171549.639387899,12
2020-09-12,1481934.6328758553,1439850.511477848,1171958.1540782093,12
2020-09-13,1482343.3558719105,1439850.511477848,1172366.772908118,12
2020-09-14,1481776.2804596617,1157885.343734781,1232428.4113787077,10
2020-09-15,1482178.9032491003,1157885.343734781,1232830.9315566837,10
2020-09-16,1482581.6286761593,1157885.343734781,1233233.5543461223,10
2020-09-17,1482984.4567670035,1157885.343734781,1233636.2797731813,10
2020-09-18,1483393.7369680628,1453324.7676316635,1170519.631726196,13
2020-09-19,1483803.121503867,1453324.7676316635,1170928.9119272553,13
2020-09-20,1484212.6104010132,1453324.7676316635,1171338.2964630593,13
2020-09-21,1484622.2036861053,1453324.7676316635,1171747.7853602055,13
2020-09-22,1485031.9013857543,1453324.7676316635,1172157.3786452976,13
2020-09-23,1485999.160375728,1455877.3780911537,1172575.5250279056,13
2020-09-24,1486409.26395195,1455877.3780911537,1172985.5240861299,13
2020-09-25,1482654.5738415592,1452600.58762989,1169936.371241094,13
2020-09-26,1483063.7543843533,1452600.58762989,1170345.4475011327,13
2020-09-27,1483473.0392364871,1452600.58762989,1170754.6280439268,13
2020-09-28,1488165.6119577526,1365664.9252820453,1194139.0401292108,12
2020-09-29,1488576.3220755104,1458402.2997185977,1174609.117518254,13
2020-09-30,1488987.1368925308,1458402.2997185977,1175019.8276360119,13
2020-10-01,1489489.0049114064,1458402.2997185977,1175430.6424530323,13
2020-10-02,1489991.0257057212,1458402.2997185977,1175932.510471908,13
2020-10-03,1490493.1993219822,1458402.2997185977,1176434.5312662227,13
2020-10-04,1490995.5258067106,1458402.2997185977,1176936.7048824837,13
2020-10-05,1491498.0052064413,1458402.2997185977,1177439.031367212,13
2020-10-06,1492000.6375677239,1458402.2997185977,1177941.5107669428,13
2020-10-07,1482986.6482304744,1322247.0185192178,1198208.1859208331,12
2020-10-08,1483486.5204859062,1453326.915265865,1170521.3614483136,13
2020-10-09,1483986.5449092397,1453326.915265865,1171021.2337037453,13
2020-10-10,1484486.721546797,1453326.915265865,1171521.2581270789,13
2020-10-11,1484987.050444914,1453326.915265865,1172021.4347646362,13
2020-10-12,1437604.5628608782,1216024.8652702018,1175681.2129116203,11
2020-10-13,1441981.0107995097,1120989.795480332,1200492.0350160026,10
2020-10-14,1442463.0918541483,1294027.5167762733,1163765.0946926111,11
2020-10-15,1442945.3196608056,1294027.5167762733,1164247.1757472497,11
2020-10-16,1374602.2532144587,1342839.0027178703,1085428.8119399536,11
2020-10-17,1375065.449865061,1342839.0027178703,1085891.8676301166,11
2020-10-18,1375528.7875190133,1342839.0027178703,1086355.064280719,11
2020-10-19,1374849.6489642966,1346898.6550879963,1084803.171898934,11
2020-10-20,1368155.6683951635,1320071.0069070866,1083880.066545494,11
2020-10-21,1354345.794231737,1230448.5240786197,1089346.2145143845,10
2020-10-22,1365252.6988049513,1232460.319023279,1099817.1969539693,11
2020-10-23,1328534.6907972442,1160034.389589788,1078684.3506361374,11
2020-10-24,1328977.7720354449,1160034.389589788,1079127.2970354399,11
2020-10-25,1329420.9881535906,1160034.389589788,1079570.3782736405,11
2020-10-26,1329869.0978304779,1302832.5683905187,1049311.985949629,12
2020-10-27,1330317.343918035,1302832.5683905187,1049760.0956265163,12
2020-10-28,1364128.1236043063,1297045.77866416,1084804.9385573124,12
2020-10-29,1364586.6057642268,1297045.77866416,1085263.2811915118,12
2020-10-30,1365045.227492342,1297045.77866416,1085721.7633514323,12
2020-10-31,1365503.9888311385,1297045.77866416,1086180.3850795475,12
2020-11-01,1365962.8898231154,1297045.77866416,1086639.146418344,12
2020-11-02,1367462.273346084,1204308.4042276077,1108079.6986114425,11
2020-11-03,1357278.5721829976,1329684.8021383244,1070938.9942120197,12
2020-11-04,1357736.056916419,1329684.8021383244,1071396.3397232578,12
2020-11-05,1358193.6809144048,1329684.8021383244,1071853.8244566792,12
2020-11-06,1367201.4028242119,1211653.5844326476,1106239.449035947,11
2020-11-07,1367657.9749039013,1211653.5844326476,1106695.8821711927,11
2020-11-08,1368114.6859703313,1211653.5844326476,1107152.4542508821,11
2020-11-09,1379711.2052446606,1186251.5794060547,1124207.721786663,11
2020-11-10,1380174.688338432,1304764.855807951,1099186.761245951,12
2020-11-11,1380638.31252275,1304764.855807951,1099650.2443397227,12
2020-11-12,1381102.077840565,1304764.855807951,1100113.8685240406,12
2020-11-13,1363750.1290675267,1106412.4607454408,1125419.573177822,10
