Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
CCOLA-TSKB,2020-01-15,2020-01-24,86733.79969208794,2.159645001554687,1.4397633343697913,-0.03679665665261162,69.38703975367035,34.693519876835175,-3191.5138474461514,-3295.594407076657,1003801.8548162286
EKGYO-SASA,2020-01-27,2020-02-05,67853.90009176638,1.6882213601779137,1.1254809067852758,0.07182054613281008,54.28312007341311,27.141560036706554,4873.304161831794,4791.879481721674,1012735.7794794381
ENKAI-ZOREN,2020-02-03,2020-02-10,84434.9394861363,2.0957103050296055,1.3971402033530704,0.035245379026118476,67.54795158890904,33.77397579445452,2975.9414452362507,2874.619517852887,1017385.5930423434
TSKB-ZOREN,2020-01-27,2020-02-13,63642.266871459564,1.5834349123224332,1.055623274881622,-0.014181456473856125,50.91381349716765,25.456906748583826,-902.5400375351394,-978.9107577808909,1017475.6810015377
ENKAI-VESTL,2020-01-30,2020-02-13,82268.87968758613,-2.0447774963976766,1.3631849975984511,-0.10701242310037111,65.8151037500689,32.90755187503445,-8803.792161121493,-8902.514816746596,1008573.1661847911
CCOLA-TSKB,2020-01-31,2020-02-14,74020.08042624431,-1.8391222782344456,1.2260815188229637,0.012318149324395539,59.21606434099545,29.608032170497726,911.7904036942448,822.9663071827516,1009753.7327951457
PGSUS-TAVHL,2020-02-11,2020-02-18,122128.63451161953,-4.91036185450296,2.0,0.09054009772876707,97.70290760929562,48.85145380464781,11057.538504162907,10910.984142748965,1022103.8136798185
ENKAI-KOZAA,2020-01-06,2020-02-20,75046.00807262307,-1.8742777831002908,1.2495185220668605,0.002204565011708723,60.036806458098454,30.018403229049227,165.4438036653152,75.3885939781675,1022909.6815730768
ALARK-TKFEN,2020-02-04,2020-02-20,73196.12568239938,-1.8161221707093256,1.210748113806217,0.09268689487237562,58.556900545919504,29.278450272959752,6784.321606189745,6696.486255370865,1029606.1678284477
ODAS-TKFEN,2020-01-03,2020-02-21,103788.86700991182,-2.5947216752477953,1.7298144501651969,0.4667972685210778,83.03109360792946,41.51554680396473,48448.35962312424,48323.81298271235,1078295.5574652816
